Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.057, 0.020, 0.198, 0.020] | Action Distribution: FORWARD: 0.1653 | TURN_LEFT: 0.1695 | TURN_RIGHT: 0.1620 | FORWARD_LEFT: 0.1666 | FORWARD_RIGHT: 0.1717 | BACKWARD: 0.1649 | Selected: TURN_LEFT (prob: 0.1695)
Episode 2 | Step 10 | State: [0.021, 0.066, 0.000, 0.000, 1.000, 1.000, 0.193, 0.027] | Action Distribution: FORWARD: 0.1563 | TURN_LEFT: 0.1632 | TURN_RIGHT: 0.1360 | FORWARD_LEFT: 0.1569 | FORWARD_RIGHT: 0.2420 | BACKWARD: 0.1456 | Selected: TURN_LEFT (prob: 0.1632)
Episode 3 | Step 1 | State: [0.021, 0.067, 0.000, 0.000, 1.000, 1.000, 0.193, 0.029] | Action Distribution: FORWARD: 0.1563 | TURN_LEFT: 0.1632 | TURN_RIGHT: 0.1360 | FORWARD_LEFT: 0.1569 | FORWARD_RIGHT: 0.2420 | BACKWARD: 0.1456 | Selected: FORWARD (prob: 0.1563)
Episode 3 | Step 2 | State: [0.055, 0.038, 0.000, 0.000, 1.000, 1.000, 0.193, 0.032] | Action Distribution: FORWARD: 0.1550 | TURN_LEFT: 0.1632 | TURN_RIGHT: 0.1370 | FORWARD_LEFT: 0.1582 | FORWARD_RIGHT: 0.2418 | BACKWARD: 0.1448 | Selected: TURN_LEFT (prob: 0.1632)
Episode 3 | Step 3 | State: [0.037, 0.040, 0.000, 0.000, 1.000, 1.000, 0.193, 0.034] | Action Distribution: FORWARD: 0.1556 | TURN_LEFT: 0.1633 | TURN_RIGHT: 0.1366 | FORWARD_LEFT: 0.1576 | FORWARD_RIGHT: 0.2417 | BACKWARD: 0.1452 | Selected: TURN_RIGHT (prob: 0.1366)
Episode 3 | Step 4 | State: [0.064, 0.030, 0.000, 0.000, 1.000, 1.000, 0.193, 0.027] | Action Distribution: FORWARD: 0.1547 | TURN_LEFT: 0.1632 | TURN_RIGHT: 0.1372 | FORWARD_LEFT: 0.1584 | FORWARD_RIGHT: 0.2419 | BACKWARD: 0.1446 | Selected: BACKWARD (prob: 0.1446)
Episode 3 | Step 5 | State: [0.055, 0.031, 0.000, 0.000, 1.000, 1.000, 0.193, 0.026] | Action Distribution: FORWARD: 0.1549 | TURN_LEFT: 0.1633 | TURN_RIGHT: 0.1371 | FORWARD_LEFT: 0.1581 | FORWARD_RIGHT: 0.2419 | BACKWARD: 0.1447 | Selected: FORWARD_LEFT (prob: 0.1581)
Episode 3 | Step 6 | State: [0.035, 0.041, 0.000, 0.000, 1.000, 1.000, 0.193, 0.034] | Action Distribution: FORWARD: 0.1556 | TURN_LEFT: 0.1633 | TURN_RIGHT: 0.1366 | FORWARD_LEFT: 0.1576 | FORWARD_RIGHT: 0.2417 | BACKWARD: 0.1453 | Selected: TURN_LEFT (prob: 0.1633)
Episode 3 | Step 7 | State: [0.021, 0.052, 0.000, 0.000, 1.000, 1.000, 0.193, 0.034] | Action Distribution: FORWARD: 0.1561 | TURN_LEFT: 0.1633 | TURN_RIGHT: 0.1362 | FORWARD_LEFT: 0.1571 | FORWARD_RIGHT: 0.2417 | BACKWARD: 0.1456 | Selected: FORWARD (prob: 0.1561)
Episode 3 | Step 8 | State: [0.123, 0.022, 0.000, 0.000, 1.000, 1.000, 0.193, 0.020] | Action Distribution: FORWARD: 0.1527 | TURN_LEFT: 0.1630 | TURN_RIGHT: 0.1383 | FORWARD_LEFT: 0.1603 | FORWARD_RIGHT: 0.2422 | BACKWARD: 0.1435 | Selected: FORWARD (prob: 0.1527)
Episode 3 | Step 9 | State: [0.125, 0.021, 0.000, 0.000, 1.000, 1.000, 0.193, 0.020] | Action Distribution: FORWARD: 0.1526 | TURN_LEFT: 0.1630 | TURN_RIGHT: 0.1384 | FORWARD_LEFT: 0.1604 | FORWARD_RIGHT: 0.2421 | BACKWARD: 0.1435 | Selected: BACKWARD (prob: 0.1435)
Episode 3 | Step 10 | State: [0.208, 0.021, 0.000, 0.000, 1.000, 0.584, 0.193, 0.020] | Action Distribution: FORWARD: 0.1492 | TURN_LEFT: 0.1654 | TURN_RIGHT: 0.1399 | FORWARD_LEFT: 0.1661 | FORWARD_RIGHT: 0.2296 | BACKWARD: 0.1499 | Selected: TURN_RIGHT (prob: 0.1399)
Episode 4 | Step 1 | State: [0.182, 0.021, 0.000, 0.000, 1.000, 0.394, 0.198, 0.020] | Action Distribution: FORWARD: 0.1490 | TURN_LEFT: 0.1648 | TURN_RIGHT: 0.1406 | FORWARD_LEFT: 0.1689 | FORWARD_RIGHT: 0.2235 | BACKWARD: 0.1532 | Selected: FORWARD_RIGHT (prob: 0.2235)
Episode 4 | Step 2 | State: [0.089, 0.021, 0.000, 0.000, 1.000, 1.000, 0.216, 0.020] | Action Distribution: FORWARD: 0.1538 | TURN_LEFT: 0.1630 | TURN_RIGHT: 0.1375 | FORWARD_LEFT: 0.1592 | FORWARD_RIGHT: 0.2424 | BACKWARD: 0.1440 | Selected: TURN_LEFT (prob: 0.1630)
Episode 4 | Step 3 | State: [0.117, 0.021, 0.000, 0.000, 1.000, 1.000, 0.198, 0.020] | Action Distribution: FORWARD: 0.1529 | TURN_LEFT: 0.1630 | TURN_RIGHT: 0.1382 | FORWARD_LEFT: 0.1602 | FORWARD_RIGHT: 0.2422 | BACKWARD: 0.1435 | Selected: FORWARD (prob: 0.1529)
Episode 4 | Step 4 | State: [0.087, 0.022, 0.000, 0.000, 1.000, 1.000, 0.204, 0.020] | Action Distribution: FORWARD: 0.1539 | TURN_LEFT: 0.1631 | TURN_RIGHT: 0.1376 | FORWARD_LEFT: 0.1591 | FORWARD_RIGHT: 0.2422 | BACKWARD: 0.1440 | Selected: TURN_LEFT (prob: 0.1631)
Episode 4 | Step 5 | State: [0.115, 0.022, 0.000, 0.000, 1.000, 1.000, 0.197, 0.020] | Action Distribution: FORWARD: 0.1530 | TURN_LEFT: 0.1630 | TURN_RIGHT: 0.1382 | FORWARD_LEFT: 0.1601 | FORWARD_RIGHT: 0.2422 | BACKWARD: 0.1436 | Selected: FORWARD (prob: 0.1530)
Episode 4 | Step 6 | State: [0.087, 0.021, 0.000, 0.000, 1.000, 1.000, 0.201, 0.020] | Action Distribution: FORWARD: 0.1539 | TURN_LEFT: 0.1631 | TURN_RIGHT: 0.1377 | FORWARD_LEFT: 0.1591 | FORWARD_RIGHT: 0.2422 | BACKWARD: 0.1440 | Selected: TURN_RIGHT (prob: 0.1377)
Episode 4 | Step 7 | State: [0.063, 0.021, 0.000, 0.000, 1.000, 1.000, 0.216, 0.020] | Action Distribution: FORWARD: 0.1547 | TURN_LEFT: 0.1631 | TURN_RIGHT: 0.1371 | FORWARD_LEFT: 0.1583 | FORWARD_RIGHT: 0.2424 | BACKWARD: 0.1444 | Selected: FORWARD_RIGHT (prob: 0.2424)
Episode 4 | Step 8 | State: [0.087, 0.022, 0.000, 0.000, 1.000, 1.000, 0.201, 0.020] | Action Distribution: FORWARD: 0.1539 | TURN_LEFT: 0.1631 | TURN_RIGHT: 0.1377 | FORWARD_LEFT: 0.1591 | FORWARD_RIGHT: 0.2422 | BACKWARD: 0.1440 | Selected: TURN_LEFT (prob: 0.1631)
Episode 4 | Step 9 | State: [0.114, 0.021, 0.000, 0.000, 1.000, 1.000, 0.193, 0.020] | Action Distribution: FORWARD: 0.1530 | TURN_LEFT: 0.1630 | TURN_RIGHT: 0.1382 | FORWARD_LEFT: 0.1600 | FORWARD_RIGHT: 0.2421 | BACKWARD: 0.1436 | Selected: FORWARD (prob: 0.1530)
Episode 4 | Step 10 | State: [0.087, 0.021, 0.000, 0.000, 1.000, 1.000, 0.199, 0.020] | Action Distribution: FORWARD: 0.1539 | TURN_LEFT: 0.1631 | TURN_RIGHT: 0.1377 | FORWARD_LEFT: 0.1591 | FORWARD_RIGHT: 0.2422 | BACKWARD: 0.1440 | Selected: FORWARD (prob: 0.1539)
Episode 5 | Step 1 | State: [0.087, 0.021, 0.000, 0.000, 1.000, 1.000, 0.198, 1.000] | Action Distribution: FORWARD: 0.1709 | TURN_LEFT: 0.1569 | TURN_RIGHT: 0.1262 | FORWARD_LEFT: 0.1791 | FORWARD_RIGHT: 0.2127 | BACKWARD: 0.1543 | Selected: FORWARD_RIGHT (prob: 0.2127)
Episode 5 | Step 2 | State: [0.087, 0.021, 0.000, 0.000, 1.000, 1.000, 0.197, 1.000] | Action Distribution: FORWARD: 0.1709 | TURN_LEFT: 0.1569 | TURN_RIGHT: 0.1262 | FORWARD_LEFT: 0.1791 | FORWARD_RIGHT: 0.2127 | BACKWARD: 0.1543 | Selected: TURN_RIGHT (prob: 0.1262)
Episode 5 | Step 3 | State: [0.078, 0.021, 0.000, 0.000, 1.000, 1.000, 0.209, 1.000] | Action Distribution: FORWARD: 0.1711 | TURN_LEFT: 0.1571 | TURN_RIGHT: 0.1257 | FORWARD_LEFT: 0.1789 | FORWARD_RIGHT: 0.2127 | BACKWARD: 0.1544 | Selected: TURN_RIGHT (prob: 0.1257)
Episode 5 | Step 4 | State: [0.056, 0.021, 0.000, 0.000, 1.000, 0.713, 0.224, 1.000] | Action Distribution: FORWARD: 0.1740 | TURN_LEFT: 0.1600 | TURN_RIGHT: 0.1277 | FORWARD_LEFT: 0.1738 | FORWARD_RIGHT: 0.2066 | BACKWARD: 0.1580 | Selected: TURN_RIGHT (prob: 0.1277)
Episode 5 | Step 5 | State: [0.037, 0.021, 0.000, 0.000, 1.000, 0.287, 0.236, 1.000] | Action Distribution: FORWARD: 0.1763 | TURN_LEFT: 0.1657 | TURN_RIGHT: 0.1292 | FORWARD_LEFT: 0.1673 | FORWARD_RIGHT: 0.1965 | BACKWARD: 0.1649 | Selected: BACKWARD (prob: 0.1649)
Episode 5 | Step 6 | State: [0.048, 0.021, 0.000, 0.000, 1.000, 0.020, 0.279, 0.020] | Action Distribution: FORWARD: 0.1505 | TURN_LEFT: 0.1647 | TURN_RIGHT: 0.1409 | FORWARD_LEFT: 0.1683 | FORWARD_RIGHT: 0.2185 | BACKWARD: 0.1571 | Selected: TURN_RIGHT (prob: 0.1409)
Episode 5 | Step 7 | State: [0.021, 0.021, 0.000, 0.000, 1.000, 0.020, 0.285, 0.473] | Action Distribution: FORWARD: 0.1623 | TURN_LEFT: 0.1673 | TURN_RIGHT: 0.1401 | FORWARD_LEFT: 0.1625 | FORWARD_RIGHT: 0.2034 | BACKWARD: 0.1644 | Selected: TURN_RIGHT (prob: 0.1401)
Episode 5 | Step 8 | State: [0.021, 0.021, 0.000, 0.000, 1.000, 0.020, 0.270, 0.979] | Action Distribution: FORWARD: 0.1772 | TURN_LEFT: 0.1683 | TURN_RIGHT: 0.1300 | FORWARD_LEFT: 0.1638 | FORWARD_RIGHT: 0.1867 | BACKWARD: 0.1740 | Selected: BACKWARD (prob: 0.1740)
Episode 5 | Step 9 | State: [0.021, 0.056, 0.000, 0.000, 0.472, 0.020, 0.375, 0.020] | Action Distribution: FORWARD: 0.1581 | TURN_LEFT: 0.1696 | TURN_RIGHT: 0.1490 | FORWARD_LEFT: 0.1680 | FORWARD_RIGHT: 0.1897 | BACKWARD: 0.1657 | Selected: TURN_RIGHT (prob: 0.1490)
Episode 5 | Step 10 | State: [0.022, 0.166, 0.000, 0.000, 0.418, 0.019, 0.332, 0.020] | Action Distribution: FORWARD: 0.1593 | TURN_LEFT: 0.1716 | TURN_RIGHT: 0.1495 | FORWARD_LEFT: 0.1679 | FORWARD_RIGHT: 0.1864 | BACKWARD: 0.1652 | Selected: TURN_RIGHT (prob: 0.1495)
Episode 6 | Step 1 | State: [0.021, 0.277, 0.000, 0.000, 0.362, 0.020, 0.296, 0.186] | Action Distribution: FORWARD: 0.1664 | TURN_LEFT: 0.1750 | TURN_RIGHT: 0.1460 | FORWARD_LEFT: 0.1668 | FORWARD_RIGHT: 0.1784 | BACKWARD: 0.1673 | Selected: FORWARD (prob: 0.1664)
Episode 6 | Step 2 | State: [0.021, 0.109, 0.000, 0.000, 0.839, 0.020, 0.237, 1.000] | Action Distribution: FORWARD: 0.1794 | TURN_LEFT: 0.1692 | TURN_RIGHT: 0.1298 | FORWARD_LEFT: 0.1683 | FORWARD_RIGHT: 0.1778 | BACKWARD: 0.1755 | Selected: FORWARD (prob: 0.1794)
Episode 6 | Step 3 | State: [0.021, 0.032, 0.000, 0.000, 1.000, 0.020, 0.239, 1.000] | Action Distribution: FORWARD: 0.1777 | TURN_LEFT: 0.1683 | TURN_RIGHT: 0.1297 | FORWARD_LEFT: 0.1641 | FORWARD_RIGHT: 0.1859 | BACKWARD: 0.1742 | Selected: FORWARD_RIGHT (prob: 0.1859)
Episode 6 | Step 4 | State: [0.037, 0.021, 0.000, 0.000, 1.000, 0.027, 0.231, 1.000] | Action Distribution: FORWARD: 0.1776 | TURN_LEFT: 0.1679 | TURN_RIGHT: 0.1300 | FORWARD_LEFT: 0.1644 | FORWARD_RIGHT: 0.1859 | BACKWARD: 0.1742 | Selected: FORWARD_RIGHT (prob: 0.1859)
Episode 6 | Step 5 | State: [0.100, 0.021, 0.000, 0.000, 1.000, 1.000, 0.196, 1.000] | Action Distribution: FORWARD: 0.1706 | TURN_LEFT: 0.1568 | TURN_RIGHT: 0.1264 | FORWARD_LEFT: 0.1795 | FORWARD_RIGHT: 0.2126 | BACKWARD: 0.1541 | Selected: BACKWARD (prob: 0.1541)
Episode 6 | Step 6 | State: [0.160, 0.021, 0.000, 0.000, 1.000, 0.020, 0.193, 0.149] | Action Distribution: FORWARD: 0.1512 | TURN_LEFT: 0.1653 | TURN_RIGHT: 0.1452 | FORWARD_LEFT: 0.1657 | FORWARD_RIGHT: 0.2147 | BACKWARD: 0.1579 | Selected: BACKWARD (prob: 0.1579)
Episode 6 | Step 7 | State: [0.287, 0.021, 0.000, 0.000, 0.576, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1524 | TURN_LEFT: 0.1680 | TURN_RIGHT: 0.1526 | FORWARD_LEFT: 0.1666 | FORWARD_RIGHT: 0.1972 | BACKWARD: 0.1632 | Selected: FORWARD_RIGHT (prob: 0.1972)
Episode 6 | Step 8 | State: [0.146, 0.021, 0.000, 0.000, 1.000, 0.020, 0.202, 0.259] | Action Distribution: FORWARD: 0.1536 | TURN_LEFT: 0.1653 | TURN_RIGHT: 0.1453 | FORWARD_LEFT: 0.1652 | FORWARD_RIGHT: 0.2099 | BACKWARD: 0.1606 | Selected: TURN_RIGHT (prob: 0.1453)
Episode 6 | Step 9 | State: [0.105, 0.021, 0.000, 0.000, 1.000, 0.022, 0.222, 0.759] | Action Distribution: FORWARD: 0.1703 | TURN_LEFT: 0.1695 | TURN_RIGHT: 0.1358 | FORWARD_LEFT: 0.1617 | FORWARD_RIGHT: 0.1927 | BACKWARD: 0.1700 | Selected: BACKWARD (prob: 0.1700)
Episode 6 | Step 10 | State: [0.220, 0.021, 0.000, 0.000, 0.455, 0.020, 0.244, 0.020] | Action Distribution: FORWARD: 0.1561 | TURN_LEFT: 0.1693 | TURN_RIGHT: 0.1544 | FORWARD_LEFT: 0.1671 | FORWARD_RIGHT: 0.1895 | BACKWARD: 0.1636 | Selected: FORWARD_LEFT (prob: 0.1671)
Episode 7 | Step 1 | State: [0.166, 0.021, 0.000, 0.000, 1.000, 0.020, 0.201, 0.020] | Action Distribution: FORWARD: 0.1487 | TURN_LEFT: 0.1646 | TURN_RIGHT: 0.1439 | FORWARD_LEFT: 0.1674 | FORWARD_RIGHT: 0.2192 | BACKWARD: 0.1561 | Selected: BACKWARD (prob: 0.1561)
Episode 7 | Step 2 | State: [0.345, 0.021, 0.000, 0.000, 0.422, 0.020, 0.204, 0.020] | Action Distribution: FORWARD: 0.1509 | TURN_LEFT: 0.1698 | TURN_RIGHT: 0.1563 | FORWARD_LEFT: 0.1666 | FORWARD_RIGHT: 0.1897 | BACKWARD: 0.1667 | Selected: FORWARD (prob: 0.1509)
Episode 7 | Step 3 | State: [0.169, 0.021, 0.000, 0.000, 1.000, 0.020, 0.201, 0.020] | Action Distribution: FORWARD: 0.1486 | TURN_LEFT: 0.1646 | TURN_RIGHT: 0.1439 | FORWARD_LEFT: 0.1674 | FORWARD_RIGHT: 0.2193 | BACKWARD: 0.1561 | Selected: TURN_RIGHT (prob: 0.1439)
Episode 7 | Step 4 | State: [0.121, 0.022, 0.000, 0.000, 1.000, 0.020, 0.221, 0.420] | Action Distribution: FORWARD: 0.1592 | TURN_LEFT: 0.1665 | TURN_RIGHT: 0.1425 | FORWARD_LEFT: 0.1643 | FORWARD_RIGHT: 0.2037 | BACKWARD: 0.1639 | Selected: TURN_LEFT (prob: 0.1665)
Episode 7 | Step 5 | State: [0.171, 0.021, 0.000, 0.000, 1.000, 0.020, 0.201, 0.020] | Action Distribution: FORWARD: 0.1545 | TURN_LEFT: 0.1602 | TURN_RIGHT: 0.1360 | FORWARD_LEFT: 0.1613 | FORWARD_RIGHT: 0.2232 | BACKWARD: 0.1647 | Selected: FORWARD_LEFT (prob: 0.1613)
Episode 7 | Step 6 | State: [0.133, 0.021, 0.000, 0.000, 1.000, 0.020, 0.193, 0.975] | Action Distribution: FORWARD: 0.1916 | TURN_LEFT: 0.1600 | TURN_RIGHT: 0.1103 | FORWARD_LEFT: 0.1491 | FORWARD_RIGHT: 0.1873 | BACKWARD: 0.2017 | Selected: FORWARD (prob: 0.1916)
Episode 7 | Step 7 | State: [0.101, 0.021, 0.000, 0.000, 1.000, 1.000, 0.193, 1.000] | Action Distribution: FORWARD: 0.1949 | TURN_LEFT: 0.1311 | TURN_RIGHT: 0.0910 | FORWARD_LEFT: 0.1401 | FORWARD_RIGHT: 0.2345 | BACKWARD: 0.2085 | Selected: FORWARD (prob: 0.1949)
Episode 7 | Step 8 | State: [0.101, 0.021, 0.000, 0.000, 1.000, 1.000, 0.193, 1.000] | Action Distribution: FORWARD: 0.1880 | TURN_LEFT: 0.1222 | TURN_RIGHT: 0.0810 | FORWARD_LEFT: 0.1333 | FORWARD_RIGHT: 0.2497 | BACKWARD: 0.2258 | Selected: FORWARD (prob: 0.1880)
Episode 7 | Step 9 | State: [0.101, 0.021, 0.000, 0.000, 1.000, 0.909, 0.193, 1.000] | Action Distribution: FORWARD: 0.1769 | TURN_LEFT: 0.1151 | TURN_RIGHT: 0.0736 | FORWARD_LEFT: 0.1294 | FORWARD_RIGHT: 0.2629 | BACKWARD: 0.2421 | Selected: FORWARD_RIGHT (prob: 0.2629)
Episode 7 | Step 10 | State: [0.101, 0.022, 0.000, 0.000, 1.000, 0.916, 0.193, 1.000] | Action Distribution: FORWARD: 0.1609 | TURN_LEFT: 0.1050 | TURN_RIGHT: 0.0654 | FORWARD_LEFT: 0.1258 | FORWARD_RIGHT: 0.2841 | BACKWARD: 0.2588 | Selected: BACKWARD (prob: 0.2588)
Episode 8 | Step 1 | State: [0.152, 0.021, 0.000, 0.000, 1.000, 0.024, 0.193, 0.505] | Action Distribution: FORWARD: 0.1433 | TURN_LEFT: 0.1249 | TURN_RIGHT: 0.0731 | FORWARD_LEFT: 0.1395 | FORWARD_RIGHT: 0.2647 | BACKWARD: 0.2545 | Selected: FORWARD_RIGHT (prob: 0.2647)
Episode 8 | Step 2 | State: [0.081, 0.021, 0.000, 0.000, 1.000, 0.032, 0.197, 1.000] | Action Distribution: FORWARD: 0.1396 | TURN_LEFT: 0.1198 | TURN_RIGHT: 0.0549 | FORWARD_LEFT: 0.1343 | FORWARD_RIGHT: 0.2567 | BACKWARD: 0.2948 | Selected: BACKWARD (prob: 0.2948)
Episode 8 | Step 3 | State: [0.147, 0.022, 0.000, 0.000, 1.000, 0.026, 0.198, 0.670] | Action Distribution: FORWARD: 0.1200 | TURN_LEFT: 0.1092 | TURN_RIGHT: 0.0543 | FORWARD_LEFT: 0.1385 | FORWARD_RIGHT: 0.2842 | BACKWARD: 0.2938 | Selected: FORWARD (prob: 0.1200)
Episode 8 | Step 4 | State: [0.081, 0.022, 0.000, 0.000, 1.000, 0.032, 0.198, 1.000] | Action Distribution: FORWARD: 0.1097 | TURN_LEFT: 0.1024 | TURN_RIGHT: 0.0409 | FORWARD_LEFT: 0.1375 | FORWARD_RIGHT: 0.2792 | BACKWARD: 0.3303 | Selected: FORWARD_RIGHT (prob: 0.2792)
Episode 8 | Step 5 | State: [0.101, 0.021, 0.000, 0.000, 1.000, 0.027, 0.193, 1.000] | Action Distribution: FORWARD: 0.0961 | TURN_LEFT: 0.0944 | TURN_RIGHT: 0.0350 | FORWARD_LEFT: 0.1423 | FORWARD_RIGHT: 0.2827 | BACKWARD: 0.3496 | Selected: TURN_LEFT (prob: 0.0944)
