Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.065, 0.065, 0.554, 0.521, 0.172, 0.059, 0.597, 0.059] | Action Distribution: FORWARD: 0.1927 | TURN_LEFT: 0.1489 | TURN_RIGHT: 0.1417 | FORWARD_LEFT: 0.1520 | FORWARD_RIGHT: 0.1428 | BACKWARD: 0.2218 | Selected: FORWARD (prob: 0.1927)
Episode 2 | Step 2 | State: [0.245, 0.064, 1.000, 0.530, 0.058, 0.168, 0.578, 1.000] | Action Distribution: FORWARD: 0.2268 | TURN_LEFT: 0.1407 | TURN_RIGHT: 0.1072 | FORWARD_LEFT: 0.1257 | FORWARD_RIGHT: 0.1080 | BACKWARD: 0.2917 | Selected: FORWARD (prob: 0.2268)
Episode 2 | Step 3 | State: [0.201, 0.064, 1.000, 0.523, 0.058, 0.157, 0.578, 1.000] | Action Distribution: FORWARD: 0.2263 | TURN_LEFT: 0.1407 | TURN_RIGHT: 0.1071 | FORWARD_LEFT: 0.1261 | FORWARD_RIGHT: 0.1095 | BACKWARD: 0.2903 | Selected: TURN_LEFT (prob: 0.1407)
Episode 2 | Step 4 | State: [0.167, 0.064, 1.000, 0.523, 0.058, 0.123, 0.578, 1.000] | Action Distribution: FORWARD: 0.2262 | TURN_LEFT: 0.1403 | TURN_RIGHT: 0.1070 | FORWARD_LEFT: 0.1269 | FORWARD_RIGHT: 0.1110 | BACKWARD: 0.2886 | Selected: TURN_RIGHT (prob: 0.1070)
Episode 2 | Step 5 | State: [0.201, 0.064, 1.000, 0.523, 0.058, 0.158, 0.578, 1.000] | Action Distribution: FORWARD: 0.2263 | TURN_LEFT: 0.1407 | TURN_RIGHT: 0.1071 | FORWARD_LEFT: 0.1261 | FORWARD_RIGHT: 0.1095 | BACKWARD: 0.2903 | Selected: TURN_LEFT (prob: 0.1407)
Episode 2 | Step 6 | State: [0.165, 0.064, 1.000, 0.523, 0.058, 0.123, 0.578, 1.000] | Action Distribution: FORWARD: 0.2262 | TURN_LEFT: 0.1403 | TURN_RIGHT: 0.1069 | FORWARD_LEFT: 0.1269 | FORWARD_RIGHT: 0.1110 | BACKWARD: 0.2886 | Selected: FORWARD_LEFT (prob: 0.1269)
Episode 2 | Step 7 | State: [0.064, 0.336, 1.000, 0.522, 1.000, 0.059, 0.593, 1.000] | Action Distribution: FORWARD: 0.2224 | TURN_LEFT: 0.1176 | TURN_RIGHT: 0.1025 | FORWARD_LEFT: 0.1103 | FORWARD_RIGHT: 0.0996 | BACKWARD: 0.3476 | Selected: TURN_RIGHT (prob: 0.1025)
Episode 2 | Step 8 | State: [0.064, 0.364, 0.663, 0.523, 1.000, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.2242 | TURN_LEFT: 0.1226 | TURN_RIGHT: 0.1083 | FORWARD_LEFT: 0.1173 | FORWARD_RIGHT: 0.1053 | BACKWARD: 0.3224 | Selected: FORWARD_RIGHT (prob: 0.1053)
Episode 2 | Step 9 | State: [0.064, 0.105, 1.000, 0.630, 1.000, 0.059, 0.703, 1.000] | Action Distribution: FORWARD: 0.2204 | TURN_LEFT: 0.1210 | TURN_RIGHT: 0.0961 | FORWARD_LEFT: 0.1058 | FORWARD_RIGHT: 0.0978 | BACKWARD: 0.3589 | Selected: BACKWARD (prob: 0.3589)
Episode 2 | Step 10 | State: [0.064, 0.195, 1.000, 0.522, 1.000, 0.059, 0.884, 0.171] | Action Distribution: FORWARD: 0.2033 | TURN_LEFT: 0.1326 | TURN_RIGHT: 0.1084 | FORWARD_LEFT: 0.1182 | FORWARD_RIGHT: 0.1319 | BACKWARD: 0.3056 | Selected: FORWARD_LEFT (prob: 0.1182)
Episode 3 | Step 1 | State: [0.064, 0.064, 1.000, 0.857, 1.000, 0.059, 0.731, 0.253] | Action Distribution: FORWARD: 0.1987 | TURN_LEFT: 0.1370 | TURN_RIGHT: 0.1109 | FORWARD_LEFT: 0.1138 | FORWARD_RIGHT: 0.1241 | BACKWARD: 0.3156 | Selected: FORWARD_LEFT (prob: 0.1138)
Episode 3 | Step 2 | State: [0.276, 0.065, 1.000, 1.000, 1.000, 0.328, 0.597, 0.059] | Action Distribution: FORWARD: 0.1863 | TURN_LEFT: 0.1412 | TURN_RIGHT: 0.1144 | FORWARD_LEFT: 0.1086 | FORWARD_RIGHT: 0.1259 | BACKWARD: 0.3235 | Selected: TURN_RIGHT (prob: 0.1144)
Episode 3 | Step 3 | State: [0.189, 0.064, 1.000, 1.000, 1.000, 0.059, 0.619, 0.059] | Action Distribution: FORWARD: 0.1865 | TURN_LEFT: 0.1440 | TURN_RIGHT: 0.1166 | FORWARD_LEFT: 0.1124 | FORWARD_RIGHT: 0.1262 | BACKWARD: 0.3145 | Selected: FORWARD_RIGHT (prob: 0.1262)
Episode 3 | Step 4 | State: [0.338, 0.065, 0.948, 1.000, 1.000, 0.716, 0.585, 0.058] | Action Distribution: FORWARD: 0.1892 | TURN_LEFT: 0.1375 | TURN_RIGHT: 0.1108 | FORWARD_LEFT: 0.1064 | FORWARD_RIGHT: 0.1261 | BACKWARD: 0.3301 | Selected: TURN_RIGHT (prob: 0.1108)
Episode 3 | Step 5 | State: [0.277, 0.064, 1.000, 1.000, 1.000, 0.302, 0.594, 0.059] | Action Distribution: FORWARD: 0.1859 | TURN_LEFT: 0.1416 | TURN_RIGHT: 0.1148 | FORWARD_LEFT: 0.1087 | FORWARD_RIGHT: 0.1258 | BACKWARD: 0.3232 | Selected: FORWARD_RIGHT (prob: 0.1258)
Episode 3 | Step 6 | State: [0.333, 0.065, 0.704, 1.000, 1.000, 0.998, 0.585, 0.058] | Action Distribution: FORWARD: 0.1941 | TURN_LEFT: 0.1391 | TURN_RIGHT: 0.1112 | FORWARD_LEFT: 0.1079 | FORWARD_RIGHT: 0.1317 | BACKWARD: 0.3161 | Selected: FORWARD_LEFT (prob: 0.1079)
Episode 3 | Step 7 | State: [0.228, 0.064, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1974 | TURN_LEFT: 0.1431 | TURN_RIGHT: 0.1129 | FORWARD_LEFT: 0.1118 | FORWARD_RIGHT: 0.1357 | BACKWARD: 0.2991 | Selected: FORWARD_LEFT (prob: 0.1118)
Episode 3 | Step 8 | State: [0.158, 0.121, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1999 | TURN_LEFT: 0.1423 | TURN_RIGHT: 0.1117 | FORWARD_LEFT: 0.1129 | FORWARD_RIGHT: 0.1359 | BACKWARD: 0.2973 | Selected: TURN_RIGHT (prob: 0.1117)
Episode 3 | Step 9 | State: [0.221, 0.075, 0.551, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1976 | TURN_LEFT: 0.1424 | TURN_RIGHT: 0.1121 | FORWARD_LEFT: 0.1116 | FORWARD_RIGHT: 0.1351 | BACKWARD: 0.3012 | Selected: BACKWARD (prob: 0.3012)
Episode 3 | Step 10 | State: [0.249, 0.064, 0.523, 1.000, 1.000, 0.260, 0.578, 0.059] | Action Distribution: FORWARD: 0.1826 | TURN_LEFT: 0.1504 | TURN_RIGHT: 0.1289 | FORWARD_LEFT: 0.1198 | FORWARD_RIGHT: 0.1339 | BACKWARD: 0.2843 | Selected: TURN_LEFT (prob: 0.1504)
Episode 4 | Step 1 | State: [0.172, 0.107, 0.523, 1.000, 1.000, 0.527, 0.578, 0.059] | Action Distribution: FORWARD: 0.1912 | TURN_LEFT: 0.1460 | TURN_RIGHT: 0.1222 | FORWARD_LEFT: 0.1185 | FORWARD_RIGHT: 0.1353 | BACKWARD: 0.2869 | Selected: FORWARD (prob: 0.1912)
Episode 4 | Step 2 | State: [0.172, 0.118, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1995 | TURN_LEFT: 0.1424 | TURN_RIGHT: 0.1120 | FORWARD_LEFT: 0.1127 | FORWARD_RIGHT: 0.1358 | BACKWARD: 0.2975 | Selected: FORWARD (prob: 0.1995)
Episode 4 | Step 3 | State: [0.183, 0.121, 0.516, 1.000, 1.000, 1.000, 0.584, 0.058] | Action Distribution: FORWARD: 0.1995 | TURN_LEFT: 0.1426 | TURN_RIGHT: 0.1123 | FORWARD_LEFT: 0.1128 | FORWARD_RIGHT: 0.1360 | BACKWARD: 0.2968 | Selected: TURN_LEFT (prob: 0.1426)
Episode 4 | Step 4 | State: [0.143, 0.222, 0.519, 1.000, 1.000, 1.000, 0.582, 0.059] | Action Distribution: FORWARD: 0.2021 | TURN_LEFT: 0.1415 | TURN_RIGHT: 0.1116 | FORWARD_LEFT: 0.1140 | FORWARD_RIGHT: 0.1357 | BACKWARD: 0.2951 | Selected: TURN_LEFT (prob: 0.1415)
Episode 4 | Step 5 | State: [0.100, 0.333, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2047 | TURN_LEFT: 0.1402 | TURN_RIGHT: 0.1109 | FORWARD_LEFT: 0.1153 | FORWARD_RIGHT: 0.1354 | BACKWARD: 0.2936 | Selected: TURN_LEFT (prob: 0.1402)
Episode 4 | Step 6 | State: [0.064, 0.452, 0.523, 1.000, 1.000, 1.000, 0.578, 0.080] | Action Distribution: FORWARD: 0.2074 | TURN_LEFT: 0.1383 | TURN_RIGHT: 0.1103 | FORWARD_LEFT: 0.1165 | FORWARD_RIGHT: 0.1344 | BACKWARD: 0.2932 | Selected: BACKWARD (prob: 0.2932)
Episode 4 | Step 7 | State: [0.064, 0.599, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2102 | TURN_LEFT: 0.1369 | TURN_RIGHT: 0.1101 | FORWARD_LEFT: 0.1195 | FORWARD_RIGHT: 0.1333 | BACKWARD: 0.2900 | Selected: FORWARD_LEFT (prob: 0.1195)
Episode 4 | Step 8 | State: [0.065, 0.540, 0.521, 1.000, 0.725, 1.000, 0.580, 0.079] | Action Distribution: FORWARD: 0.2108 | TURN_LEFT: 0.1369 | TURN_RIGHT: 0.1144 | FORWARD_LEFT: 0.1269 | FORWARD_RIGHT: 0.1360 | BACKWARD: 0.2750 | Selected: FORWARD_RIGHT (prob: 0.1360)
Episode 4 | Step 9 | State: [0.185, 0.118, 0.520, 1.000, 0.573, 1.000, 0.580, 0.059] | Action Distribution: FORWARD: 0.2034 | TURN_LEFT: 0.1446 | TURN_RIGHT: 0.1203 | FORWARD_LEFT: 0.1251 | FORWARD_RIGHT: 0.1405 | BACKWARD: 0.2660 | Selected: TURN_LEFT (prob: 0.1446)
Episode 4 | Step 10 | State: [0.144, 0.215, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2019 | TURN_LEFT: 0.1415 | TURN_RIGHT: 0.1116 | FORWARD_LEFT: 0.1138 | FORWARD_RIGHT: 0.1356 | BACKWARD: 0.2956 | Selected: TURN_LEFT (prob: 0.1415)
Episode 5 | Step 1 | State: [0.100, 0.333, 0.522, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2048 | TURN_LEFT: 0.1402 | TURN_RIGHT: 0.1109 | FORWARD_LEFT: 0.1153 | FORWARD_RIGHT: 0.1354 | BACKWARD: 0.2935 | Selected: TURN_RIGHT (prob: 0.1109)
Episode 5 | Step 2 | State: [0.143, 0.216, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2019 | TURN_LEFT: 0.1415 | TURN_RIGHT: 0.1116 | FORWARD_LEFT: 0.1139 | FORWARD_RIGHT: 0.1356 | BACKWARD: 0.2956 | Selected: FORWARD_LEFT (prob: 0.1139)
Episode 5 | Step 3 | State: [0.280, 0.065, 0.521, 1.000, 1.000, 1.000, 0.580, 0.059] | Action Distribution: FORWARD: 0.1964 | TURN_LEFT: 0.1434 | TURN_RIGHT: 0.1140 | FORWARD_LEFT: 0.1113 | FORWARD_RIGHT: 0.1356 | BACKWARD: 0.2992 | Selected: FORWARD_LEFT (prob: 0.1113)
Episode 5 | Step 4 | State: [0.254, 0.065, 0.516, 1.000, 1.000, 1.000, 0.585, 0.058] | Action Distribution: FORWARD: 0.1970 | TURN_LEFT: 0.1434 | TURN_RIGHT: 0.1136 | FORWARD_LEFT: 0.1117 | FORWARD_RIGHT: 0.1358 | BACKWARD: 0.2985 | Selected: BACKWARD (prob: 0.2985)
Episode 5 | Step 5 | State: [0.261, 0.064, 0.523, 1.000, 1.000, 0.264, 0.578, 0.059] | Action Distribution: FORWARD: 0.1825 | TURN_LEFT: 0.1503 | TURN_RIGHT: 0.1291 | FORWARD_LEFT: 0.1196 | FORWARD_RIGHT: 0.1339 | BACKWARD: 0.2846 | Selected: TURN_LEFT (prob: 0.1503)
Episode 5 | Step 6 | State: [0.180, 0.064, 0.523, 1.000, 1.000, 0.531, 0.578, 0.059] | Action Distribution: FORWARD: 0.1902 | TURN_LEFT: 0.1464 | TURN_RIGHT: 0.1221 | FORWARD_LEFT: 0.1178 | FORWARD_RIGHT: 0.1354 | BACKWARD: 0.2880 | Selected: BACKWARD (prob: 0.2880)
Episode 5 | Step 7 | State: [0.137, 0.064, 0.523, 0.926, 1.000, 0.170, 0.578, 0.059] | Action Distribution: FORWARD: 0.1849 | TURN_LEFT: 0.1517 | TURN_RIGHT: 0.1277 | FORWARD_LEFT: 0.1225 | FORWARD_RIGHT: 0.1357 | BACKWARD: 0.2774 | Selected: BACKWARD (prob: 0.2774)
Episode 5 | Step 8 | State: [0.064, 0.064, 0.522, 0.659, 0.555, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1886 | TURN_LEFT: 0.1549 | TURN_RIGHT: 0.1355 | FORWARD_LEFT: 0.1394 | FORWARD_RIGHT: 0.1432 | BACKWARD: 0.2384 | Selected: TURN_RIGHT (prob: 0.1355)
Episode 5 | Step 9 | State: [0.170, 0.064, 0.523, 0.606, 0.695, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1875 | TURN_LEFT: 0.1539 | TURN_RIGHT: 0.1352 | FORWARD_LEFT: 0.1329 | FORWARD_RIGHT: 0.1442 | BACKWARD: 0.2464 | Selected: FORWARD (prob: 0.1875)
Episode 5 | Step 10 | State: [0.225, 0.064, 0.522, 0.777, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1829 | TURN_LEFT: 0.1521 | TURN_RIGHT: 0.1315 | FORWARD_LEFT: 0.1230 | FORWARD_RIGHT: 0.1391 | BACKWARD: 0.2714 | Selected: FORWARD (prob: 0.1829)
Episode 6 | Step 1 | State: [0.250, 0.065, 0.522, 1.000, 1.000, 0.243, 0.579, 0.059] | Action Distribution: FORWARD: 0.1824 | TURN_LEFT: 0.1506 | TURN_RIGHT: 0.1293 | FORWARD_LEFT: 0.1200 | FORWARD_RIGHT: 0.1339 | BACKWARD: 0.2837 | Selected: FORWARD (prob: 0.1824)
Episode 6 | Step 2 | State: [0.221, 0.064, 0.618, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1972 | TURN_LEFT: 0.1411 | TURN_RIGHT: 0.1105 | FORWARD_LEFT: 0.1102 | FORWARD_RIGHT: 0.1336 | BACKWARD: 0.3075 | Selected: FORWARD_RIGHT (prob: 0.1336)
Episode 6 | Step 3 | State: [0.102, 0.320, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2045 | TURN_LEFT: 0.1403 | TURN_RIGHT: 0.1109 | FORWARD_LEFT: 0.1151 | FORWARD_RIGHT: 0.1354 | BACKWARD: 0.2938 | Selected: FORWARD_RIGHT (prob: 0.1354)
Episode 6 | Step 4 | State: [0.065, 0.388, 0.516, 1.000, 1.000, 1.000, 0.584, 0.058] | Action Distribution: FORWARD: 0.2066 | TURN_LEFT: 0.1396 | TURN_RIGHT: 0.1104 | FORWARD_LEFT: 0.1162 | FORWARD_RIGHT: 0.1355 | BACKWARD: 0.2917 | Selected: TURN_RIGHT (prob: 0.1104)
Episode 6 | Step 5 | State: [0.103, 0.302, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2042 | TURN_LEFT: 0.1405 | TURN_RIGHT: 0.1109 | FORWARD_LEFT: 0.1150 | FORWARD_RIGHT: 0.1355 | BACKWARD: 0.2940 | Selected: FORWARD_LEFT (prob: 0.1150)
Episode 6 | Step 6 | State: [0.065, 0.441, 0.517, 1.000, 1.000, 1.000, 0.583, 0.058] | Action Distribution: FORWARD: 0.2076 | TURN_LEFT: 0.1391 | TURN_RIGHT: 0.1103 | FORWARD_LEFT: 0.1168 | FORWARD_RIGHT: 0.1352 | BACKWARD: 0.2909 | Selected: FORWARD_RIGHT (prob: 0.1352)
Episode 6 | Step 7 | State: [0.065, 0.463, 0.516, 1.000, 1.000, 1.000, 0.584, 0.058] | Action Distribution: FORWARD: 0.2081 | TURN_LEFT: 0.1389 | TURN_RIGHT: 0.1103 | FORWARD_LEFT: 0.1171 | FORWARD_RIGHT: 0.1350 | BACKWARD: 0.2905 | Selected: FORWARD_RIGHT (prob: 0.1350)
Episode 6 | Step 8 | State: [0.065, 0.489, 0.517, 1.000, 1.000, 1.000, 0.583, 0.059] | Action Distribution: FORWARD: 0.2086 | TURN_LEFT: 0.1385 | TURN_RIGHT: 0.1103 | FORWARD_LEFT: 0.1176 | FORWARD_RIGHT: 0.1347 | BACKWARD: 0.2903 | Selected: BACKWARD (prob: 0.2903)
Episode 6 | Step 9 | State: [0.064, 0.599, 0.522, 1.000, 1.000, 1.000, 0.579, 0.059] | Action Distribution: FORWARD: 0.2103 | TURN_LEFT: 0.1369 | TURN_RIGHT: 0.1101 | FORWARD_LEFT: 0.1195 | FORWARD_RIGHT: 0.1333 | BACKWARD: 0.2899 | Selected: FORWARD (prob: 0.2103)
Episode 6 | Step 10 | State: [0.064, 0.495, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2085 | TURN_LEFT: 0.1383 | TURN_RIGHT: 0.1102 | FORWARD_LEFT: 0.1176 | FORWARD_RIGHT: 0.1345 | BACKWARD: 0.2910 | Selected: BACKWARD (prob: 0.2910)
Episode 7 | Step 1 | State: [0.064, 0.595, 0.523, 1.000, 1.000, 0.996, 0.578, 0.059] | Action Distribution: FORWARD: 0.2101 | TURN_LEFT: 0.1370 | TURN_RIGHT: 0.1102 | FORWARD_LEFT: 0.1194 | FORWARD_RIGHT: 0.1333 | BACKWARD: 0.2899 | Selected: TURN_RIGHT (prob: 0.1102)
Episode 7 | Step 2 | State: [0.064, 0.324, 0.523, 1.000, 1.000, 0.605, 0.578, 0.059] | Action Distribution: FORWARD: 0.1988 | TURN_LEFT: 0.1427 | TURN_RIGHT: 0.1190 | FORWARD_LEFT: 0.1213 | FORWARD_RIGHT: 0.1349 | BACKWARD: 0.2832 | Selected: FORWARD (prob: 0.1988)
Episode 7 | Step 3 | State: [0.099, 0.376, 1.000, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2043 | TURN_LEFT: 0.1307 | TURN_RIGHT: 0.0998 | FORWARD_LEFT: 0.1085 | FORWARD_RIGHT: 0.1239 | BACKWARD: 0.3328 | Selected: FORWARD_RIGHT (prob: 0.1239)
Episode 7 | Step 4 | State: [0.065, 0.515, 0.516, 1.000, 1.000, 1.000, 0.584, 0.058] | Action Distribution: FORWARD: 0.2091 | TURN_LEFT: 0.1382 | TURN_RIGHT: 0.1102 | FORWARD_LEFT: 0.1180 | FORWARD_RIGHT: 0.1345 | BACKWARD: 0.2900 | Selected: BACKWARD (prob: 0.2900)
Episode 7 | Step 5 | State: [0.064, 0.734, 0.522, 1.000, 1.000, 0.788, 0.578, 0.059] | Action Distribution: FORWARD: 0.2118 | TURN_LEFT: 0.1389 | TURN_RIGHT: 0.1156 | FORWARD_LEFT: 0.1270 | FORWARD_RIGHT: 0.1340 | BACKWARD: 0.2727 | Selected: FORWARD_LEFT (prob: 0.1270)
Episode 7 | Step 6 | State: [0.064, 0.598, 0.523, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2098 | TURN_LEFT: 0.1394 | TURN_RIGHT: 0.1168 | FORWARD_LEFT: 0.1256 | FORWARD_RIGHT: 0.1400 | BACKWARD: 0.2684 | Selected: FORWARD (prob: 0.2098)
Episode 7 | Step 7 | State: [0.065, 0.518, 0.520, 1.000, 1.000, 1.000, 0.580, 0.059] | Action Distribution: FORWARD: 0.2070 | TURN_LEFT: 0.1410 | TURN_RIGHT: 0.1209 | FORWARD_LEFT: 0.1273 | FORWARD_RIGHT: 0.1448 | BACKWARD: 0.2590 | Selected: FORWARD (prob: 0.2070)
Episode 7 | Step 8 | State: [0.065, 0.527, 1.000, 1.000, 1.000, 1.000, 0.583, 0.058] | Action Distribution: FORWARD: 0.2069 | TURN_LEFT: 0.1371 | TURN_RIGHT: 0.1114 | FORWARD_LEFT: 0.1216 | FORWARD_RIGHT: 0.1386 | BACKWARD: 0.2843 | Selected: FORWARD (prob: 0.2069)
Episode 7 | Step 9 | State: [0.064, 0.555, 1.000, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2069 | TURN_LEFT: 0.1394 | TURN_RIGHT: 0.1143 | FORWARD_LEFT: 0.1248 | FORWARD_RIGHT: 0.1423 | BACKWARD: 0.2723 | Selected: FORWARD (prob: 0.2069)
Episode 7 | Step 10 | State: [0.064, 0.584, 1.000, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2056 | TURN_LEFT: 0.1414 | TURN_RIGHT: 0.1174 | FORWARD_LEFT: 0.1281 | FORWARD_RIGHT: 0.1459 | BACKWARD: 0.2616 | Selected: FORWARD (prob: 0.2056)
Episode 8 | Step 1 | State: [0.064, 0.597, 1.000, 1.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.2029 | TURN_LEFT: 0.1428 | TURN_RIGHT: 0.1207 | FORWARD_LEFT: 0.1307 | FORWARD_RIGHT: 0.1493 | BACKWARD: 0.2536 | Selected: FORWARD (prob: 0.2029)
Episode 8 | Step 2 | State: [0.065, 0.597, 1.000, 1.000, 1.000, 1.000, 0.582, 1.000] | Action Distribution: FORWARD: 0.2170 | TURN_LEFT: 0.1283 | TURN_RIGHT: 0.1244 | FORWARD_LEFT: 0.1189 | FORWARD_RIGHT: 0.1444 | BACKWARD: 0.2670 | Selected: BACKWARD (prob: 0.2670)
Episode 8 | Step 3 | State: [0.064, 0.994, 1.000, 1.000, 1.000, 0.470, 0.578, 0.059] | Action Distribution: FORWARD: 0.1935 | TURN_LEFT: 0.1468 | TURN_RIGHT: 0.1321 | FORWARD_LEFT: 0.1452 | FORWARD_RIGHT: 0.1494 | BACKWARD: 0.2330 | Selected: BACKWARD (prob: 0.2330)
Episode 8 | Step 4 | State: [0.064, 1.000, 0.687, 0.975, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1762 | TURN_LEFT: 0.1548 | TURN_RIGHT: 0.1490 | FORWARD_LEFT: 0.1538 | FORWARD_RIGHT: 0.1537 | BACKWARD: 0.2125 | Selected: TURN_LEFT (prob: 0.1548)
Episode 8 | Step 5 | State: [0.064, 1.000, 0.523, 1.000, 1.000, 0.059, 0.577, 0.059] | Action Distribution: FORWARD: 0.1735 | TURN_LEFT: 0.1598 | TURN_RIGHT: 0.1564 | FORWARD_LEFT: 0.1561 | FORWARD_RIGHT: 0.1516 | BACKWARD: 0.2027 | Selected: BACKWARD (prob: 0.2027)
