Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.064, 0.182, 0.000, 0.000, 0.058, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1721 | TURN_LEFT: 0.1500 | TURN_RIGHT: 0.1783 | FORWARD_LEFT: 0.1752 | FORWARD_RIGHT: 0.1287 | BACKWARD: 0.1958 | Selected: FORWARD_LEFT (prob: 0.1752)
Episode 1 | Step 36 | State: [0.064, 0.268, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1892 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1799 | FORWARD_LEFT: 0.1986 | FORWARD_RIGHT: 0.0967 | BACKWARD: 0.2020 | Selected: TURN_LEFT (prob: 0.1337)
Episode 1 | Step 37 | State: [0.064, 0.213, 0.000, 0.000, 1.000, 1.000, 0.590, 1.000] | Action Distribution: FORWARD: 0.1884 | TURN_LEFT: 0.1338 | TURN_RIGHT: 0.1812 | FORWARD_LEFT: 0.1964 | FORWARD_RIGHT: 0.0957 | BACKWARD: 0.2044 | Selected: FORWARD_RIGHT (prob: 0.0957)
Episode 1 | Step 38 | State: [0.064, 0.111, 0.000, 0.000, 1.000, 1.000, 0.635, 1.000] | Action Distribution: FORWARD: 0.1868 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1841 | FORWARD_LEFT: 0.1924 | FORWARD_RIGHT: 0.0931 | BACKWARD: 0.2099 | Selected: FORWARD (prob: 0.1868)
Episode 1 | Step 39 | State: [0.065, 0.210, 0.000, 0.000, 1.000, 1.000, 0.601, 1.000] | Action Distribution: FORWARD: 0.1883 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1813 | FORWARD_LEFT: 0.1964 | FORWARD_RIGHT: 0.0955 | BACKWARD: 0.2049 | Selected: FORWARD_LEFT (prob: 0.1964)
Episode 1 | Step 40 | State: [0.065, 0.209, 0.000, 0.000, 1.000, 1.000, 0.605, 1.000] | Action Distribution: FORWARD: 0.1883 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1813 | FORWARD_LEFT: 0.1964 | FORWARD_RIGHT: 0.0954 | BACKWARD: 0.2050 | Selected: TURN_LEFT (prob: 0.1337)
Episode 1 | Step 41 | State: [0.064, 0.111, 0.000, 0.000, 1.000, 1.000, 0.636, 1.000] | Action Distribution: FORWARD: 0.1868 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1841 | FORWARD_LEFT: 0.1924 | FORWARD_RIGHT: 0.0931 | BACKWARD: 0.2099 | Selected: TURN_RIGHT (prob: 0.1841)
Episode 1 | Step 42 | State: [0.064, 0.163, 0.000, 0.000, 1.000, 1.000, 0.615, 1.000] | Action Distribution: FORWARD: 0.1876 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1826 | FORWARD_LEFT: 0.1945 | FORWARD_RIGHT: 0.0944 | BACKWARD: 0.2072 | Selected: TURN_LEFT (prob: 0.1337)
Episode 1 | Step 43 | State: [0.064, 0.111, 0.000, 0.000, 1.000, 1.000, 0.636, 1.000] | Action Distribution: FORWARD: 0.1868 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1841 | FORWARD_LEFT: 0.1924 | FORWARD_RIGHT: 0.0931 | BACKWARD: 0.2099 | Selected: BACKWARD (prob: 0.2099)
Episode 1 | Step 44 | State: [0.000, 1.000, 0.000, 0.000, 0.458, 0.335, 1.000, 0.219] | Action Distribution: FORWARD: 0.1734 | TURN_LEFT: 0.1605 | TURN_RIGHT: 0.1456 | FORWARD_LEFT: 0.2169 | FORWARD_RIGHT: 0.1281 | BACKWARD: 0.1754 | Selected: BACKWARD (prob: 0.1754)
Episode 1 | Step 45 | State: [1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 1.000, 1.000] | Action Distribution: FORWARD: 0.1670 | TURN_LEFT: 0.1505 | TURN_RIGHT: 0.1693 | FORWARD_LEFT: 0.2173 | FORWARD_RIGHT: 0.0958 | BACKWARD: 0.2003 | Selected: FORWARD (prob: 0.1670)
Episode 1 | Step 46 | State: [0.064, 0.206, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1884 | TURN_LEFT: 0.1340 | TURN_RIGHT: 0.1813 | FORWARD_LEFT: 0.1960 | FORWARD_RIGHT: 0.0959 | BACKWARD: 0.2044 | Selected: FORWARD (prob: 0.1884)
Episode 1 | Step 47 | State: [0.064, 0.205, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1884 | TURN_LEFT: 0.1340 | TURN_RIGHT: 0.1814 | FORWARD_LEFT: 0.1959 | FORWARD_RIGHT: 0.0959 | BACKWARD: 0.2044 | Selected: BACKWARD (prob: 0.2044)
Episode 1 | Step 48 | State: [0.064, 0.094, 0.000, 0.000, 0.072, 0.059, 0.598, 0.059] | Action Distribution: FORWARD: 0.1660 | TURN_LEFT: 0.1662 | TURN_RIGHT: 0.1603 | FORWARD_LEFT: 0.1836 | FORWARD_RIGHT: 0.1490 | BACKWARD: 0.1749 | Selected: FORWARD_RIGHT (prob: 0.1490)
Episode 1 | Step 49 | State: [0.064, 0.064, 0.000, 0.000, 0.058, 0.831, 0.578, 0.145] | Action Distribution: FORWARD: 0.1749 | TURN_LEFT: 0.1492 | TURN_RIGHT: 0.1755 | FORWARD_LEFT: 0.1781 | FORWARD_RIGHT: 0.1297 | BACKWARD: 0.1927 | Selected: BACKWARD (prob: 0.1927)
Episode 1 | Step 50 | State: [0.123, 0.064, 0.000, 0.000, 0.058, 0.059, 0.578, 0.134] | Action Distribution: FORWARD: 0.1651 | TURN_LEFT: 0.1655 | TURN_RIGHT: 0.1642 | FORWARD_LEFT: 0.1817 | FORWARD_RIGHT: 0.1458 | BACKWARD: 0.1777 | Selected: TURN_LEFT (prob: 0.1655)
Episode 1 | Step 51 | State: [0.113, 0.064, 0.000, 0.000, 0.058, 0.072, 0.578, 0.140] | Action Distribution: FORWARD: 0.1654 | TURN_LEFT: 0.1648 | TURN_RIGHT: 0.1645 | FORWARD_LEFT: 0.1820 | FORWARD_RIGHT: 0.1453 | BACKWARD: 0.1780 | Selected: FORWARD_LEFT (prob: 0.1820)
Episode 1 | Step 52 | State: [0.164, 0.064, 0.000, 0.000, 1.000, 0.289, 0.578, 0.885] | Action Distribution: FORWARD: 0.1759 | TURN_LEFT: 0.1498 | TURN_RIGHT: 0.1764 | FORWARD_LEFT: 0.2023 | FORWARD_RIGHT: 0.0990 | BACKWARD: 0.1966 | Selected: FORWARD (prob: 0.1759)
Episode 1 | Step 53 | State: [0.065, 0.211, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1885 | TURN_LEFT: 0.1340 | TURN_RIGHT: 0.1812 | FORWARD_LEFT: 0.1962 | FORWARD_RIGHT: 0.0959 | BACKWARD: 0.2042 | Selected: FORWARD (prob: 0.1885)
Episode 1 | Step 54 | State: [0.064, 0.217, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1885 | TURN_LEFT: 0.1339 | TURN_RIGHT: 0.1811 | FORWARD_LEFT: 0.1964 | FORWARD_RIGHT: 0.0960 | BACKWARD: 0.2040 | Selected: TURN_LEFT (prob: 0.1339)
Episode 1 | Step 55 | State: [0.064, 0.217, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1885 | TURN_LEFT: 0.1339 | TURN_RIGHT: 0.1811 | FORWARD_LEFT: 0.1965 | FORWARD_RIGHT: 0.0960 | BACKWARD: 0.2039 | Selected: FORWARD_RIGHT (prob: 0.0960)
Episode 1 | Step 56 | State: [0.065, 0.118, 0.000, 0.000, 1.000, 1.000, 0.583, 1.000] | Action Distribution: FORWARD: 0.1873 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1837 | FORWARD_LEFT: 0.1922 | FORWARD_RIGHT: 0.0945 | BACKWARD: 0.2080 | Selected: FORWARD_LEFT (prob: 0.1922)
Episode 1 | Step 57 | State: [0.064, 0.126, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1874 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1834 | FORWARD_LEFT: 0.1925 | FORWARD_RIGHT: 0.0947 | BACKWARD: 0.2076 | Selected: TURN_LEFT (prob: 0.1343)
Episode 1 | Step 58 | State: [0.065, 0.166, 0.000, 0.000, 1.000, 1.000, 0.582, 1.000] | Action Distribution: FORWARD: 0.1879 | TURN_LEFT: 0.1341 | TURN_RIGHT: 0.1824 | FORWARD_LEFT: 0.1943 | FORWARD_RIGHT: 0.0952 | BACKWARD: 0.2061 | Selected: TURN_LEFT (prob: 0.1341)
Episode 1 | Step 59 | State: [0.064, 0.188, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1882 | TURN_LEFT: 0.1340 | TURN_RIGHT: 0.1818 | FORWARD_LEFT: 0.1952 | FORWARD_RIGHT: 0.0956 | BACKWARD: 0.2051 | Selected: FORWARD (prob: 0.1882)
Episode 1 | Step 60 | State: [0.064, 0.220, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1886 | TURN_LEFT: 0.1339 | TURN_RIGHT: 0.1810 | FORWARD_LEFT: 0.1966 | FORWARD_RIGHT: 0.0961 | BACKWARD: 0.2038 | Selected: TURN_RIGHT (prob: 0.1810)
Episode 1 | Step 61 | State: [0.064, 0.209, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1885 | TURN_LEFT: 0.1340 | TURN_RIGHT: 0.1813 | FORWARD_LEFT: 0.1961 | FORWARD_RIGHT: 0.0959 | BACKWARD: 0.2043 | Selected: TURN_RIGHT (prob: 0.1813)
Episode 1 | Step 62 | State: [0.064, 0.171, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1880 | TURN_LEFT: 0.1341 | TURN_RIGHT: 0.1822 | FORWARD_LEFT: 0.1945 | FORWARD_RIGHT: 0.0954 | BACKWARD: 0.2058 | Selected: FORWARD_LEFT (prob: 0.1945)
Episode 1 | Step 63 | State: [0.065, 0.170, 0.000, 0.000, 1.000, 1.000, 0.579, 1.000] | Action Distribution: FORWARD: 0.1880 | TURN_LEFT: 0.1341 | TURN_RIGHT: 0.1823 | FORWARD_LEFT: 0.1944 | FORWARD_RIGHT: 0.0953 | BACKWARD: 0.2059 | Selected: TURN_RIGHT (prob: 0.1823)
Episode 1 | Step 64 | State: [0.065, 0.129, 0.000, 0.000, 1.000, 1.000, 0.581, 1.000] | Action Distribution: FORWARD: 0.1874 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1834 | FORWARD_LEFT: 0.1927 | FORWARD_RIGHT: 0.0947 | BACKWARD: 0.2076 | Selected: TURN_RIGHT (prob: 0.1834)
Episode 1 | Step 65 | State: [0.064, 0.090, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1870 | TURN_LEFT: 0.1349 | TURN_RIGHT: 0.1847 | FORWARD_LEFT: 0.1908 | FORWARD_RIGHT: 0.0945 | BACKWARD: 0.2081 | Selected: FORWARD_RIGHT (prob: 0.0945)
Episode 1 | Step 66 | State: [0.064, 0.098, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1870 | TURN_LEFT: 0.1350 | TURN_RIGHT: 0.1843 | FORWARD_LEFT: 0.1914 | FORWARD_RIGHT: 0.0948 | BACKWARD: 0.2075 | Selected: FORWARD (prob: 0.1870)
Episode 1 | Step 67 | State: [0.065, 0.124, 0.000, 0.000, 1.000, 1.000, 0.579, 1.000] | Action Distribution: FORWARD: 0.1870 | TURN_LEFT: 0.1348 | TURN_RIGHT: 0.1833 | FORWARD_LEFT: 0.1931 | FORWARD_RIGHT: 0.0953 | BACKWARD: 0.2065 | Selected: BACKWARD (prob: 0.2065)
Episode 1 | Step 68 | State: [0.064, 0.162, 0.000, 0.000, 0.058, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1655 | TURN_LEFT: 0.1671 | TURN_RIGHT: 0.1579 | FORWARD_LEFT: 0.1849 | FORWARD_RIGHT: 0.1514 | BACKWARD: 0.1733 | Selected: TURN_LEFT (prob: 0.1671)
Episode 1 | Step 69 | State: [0.064, 0.129, 0.000, 0.000, 0.058, 0.059, 0.590, 0.059] | Action Distribution: FORWARD: 0.1655 | TURN_LEFT: 0.1669 | TURN_RIGHT: 0.1587 | FORWARD_LEFT: 0.1842 | FORWARD_RIGHT: 0.1508 | BACKWARD: 0.1739 | Selected: TURN_RIGHT (prob: 0.1587)
Episode 1 | Step 70 | State: [0.064, 0.162, 0.000, 0.000, 0.058, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1655 | TURN_LEFT: 0.1671 | TURN_RIGHT: 0.1578 | FORWARD_LEFT: 0.1849 | FORWARD_RIGHT: 0.1515 | BACKWARD: 0.1731 | Selected: TURN_RIGHT (prob: 0.1578)
Episode 1 | Step 71 | State: [0.064, 0.193, 0.000, 0.000, 0.058, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1653 | TURN_LEFT: 0.1677 | TURN_RIGHT: 0.1568 | FORWARD_LEFT: 0.1858 | FORWARD_RIGHT: 0.1520 | BACKWARD: 0.1724 | Selected: FORWARD_LEFT (prob: 0.1858)
Episode 1 | Step 72 | State: [0.064, 0.081, 0.000, 0.000, 0.214, 0.543, 0.641, 0.059] | Action Distribution: FORWARD: 0.1721 | TURN_LEFT: 0.1535 | TURN_RIGHT: 0.1714 | FORWARD_LEFT: 0.1798 | FORWARD_RIGHT: 0.1376 | BACKWARD: 0.1857 | Selected: FORWARD (prob: 0.1721)
Episode 1 | Step 73 | State: [0.064, 0.100, 0.000, 0.000, 1.000, 1.000, 0.602, 1.000] | Action Distribution: FORWARD: 0.1856 | TURN_LEFT: 0.1357 | TURN_RIGHT: 0.1836 | FORWARD_LEFT: 0.1937 | FORWARD_RIGHT: 0.0957 | BACKWARD: 0.2057 | Selected: FORWARD_RIGHT (prob: 0.0957)
Episode 1 | Step 74 | State: [0.064, 0.100, 0.000, 0.000, 1.000, 1.000, 0.602, 1.000] | Action Distribution: FORWARD: 0.1854 | TURN_LEFT: 0.1359 | TURN_RIGHT: 0.1835 | FORWARD_LEFT: 0.1940 | FORWARD_RIGHT: 0.0958 | BACKWARD: 0.2054 | Selected: FORWARD_RIGHT (prob: 0.0958)
Episode 1 | Step 75 | State: [0.064, 0.064, 0.000, 0.000, 1.000, 1.000, 0.614, 1.000] | Action Distribution: FORWARD: 0.1849 | TURN_LEFT: 0.1363 | TURN_RIGHT: 0.1846 | FORWARD_LEFT: 0.1925 | FORWARD_RIGHT: 0.0954 | BACKWARD: 0.2063 | Selected: TURN_LEFT (prob: 0.1363)
