Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.064, 0.064, 0.000, 0.000, 0.172, 0.059, 0.594, 0.059] | Action Distribution: FORWARD: 0.1639 | TURN_LEFT: 0.1702 | TURN_RIGHT: 0.1799 | FORWARD_LEFT: 0.1643 | FORWARD_RIGHT: 0.1668 | BACKWARD: 0.1550 | Selected: BACKWARD (prob: 0.1550)
Episode 14 | Step 1 | State: [0.162, 0.170, 0.000, 0.000, 0.058, 0.059, 0.582, 1.000] | Action Distribution: FORWARD: 0.1378 | TURN_LEFT: 0.1508 | TURN_RIGHT: 0.2093 | FORWARD_LEFT: 0.1644 | FORWARD_RIGHT: 0.1909 | BACKWARD: 0.1468 | Selected: TURN_LEFT (prob: 0.1508)
Episode 15 | Step 1 | State: [0.123, 0.204, 0.000, 0.000, 0.058, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.1376 | TURN_LEFT: 0.1498 | TURN_RIGHT: 0.2077 | FORWARD_LEFT: 0.1646 | FORWARD_RIGHT: 0.1925 | BACKWARD: 0.1479 | Selected: TURN_RIGHT (prob: 0.2077)
Episode 16 | Step 1 | State: [0.162, 0.169, 0.000, 0.000, 0.058, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.1378 | TURN_LEFT: 0.1508 | TURN_RIGHT: 0.2093 | FORWARD_LEFT: 0.1644 | FORWARD_RIGHT: 0.1910 | BACKWARD: 0.1468 | Selected: BACKWARD (prob: 0.1468)
Episode 16 | Step 2 | State: [0.064, 0.064, 0.000, 0.000, 0.058, 0.059, 0.632, 0.059] | Action Distribution: FORWARD: 0.1657 | TURN_LEFT: 0.1674 | TURN_RIGHT: 0.1774 | FORWARD_LEFT: 0.1657 | FORWARD_RIGHT: 0.1672 | BACKWARD: 0.1567 | Selected: FORWARD_RIGHT (prob: 0.1672)
Episode 16 | Step 3 | State: [0.064, 0.101, 0.000, 0.000, 0.058, 0.208, 0.610, 0.059] | Action Distribution: FORWARD: 0.1663 | TURN_LEFT: 0.1717 | TURN_RIGHT: 0.1780 | FORWARD_LEFT: 0.1655 | FORWARD_RIGHT: 0.1648 | BACKWARD: 0.1537 | Selected: FORWARD_RIGHT (prob: 0.1648)
Episode 16 | Step 4 | State: [0.064, 0.064, 0.000, 0.000, 0.108, 0.059, 0.584, 0.217] | Action Distribution: FORWARD: 0.1583 | TURN_LEFT: 0.1656 | TURN_RIGHT: 0.1815 | FORWARD_LEFT: 0.1703 | FORWARD_RIGHT: 0.1677 | BACKWARD: 0.1564 | Selected: FORWARD_LEFT (prob: 0.1703)
Episode 17 | Step 1 | State: [0.064, 0.200, 0.000, 0.000, 1.000, 1.000, 1.000, 0.554] | Action Distribution: FORWARD: 0.1356 | TURN_LEFT: 0.1709 | TURN_RIGHT: 0.2301 | FORWARD_LEFT: 0.1468 | FORWARD_RIGHT: 0.1830 | BACKWARD: 0.1337 | Selected: FORWARD_LEFT (prob: 0.1468)
Episode 18 | Step 1 | State: [0.064, 0.292, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1204 | TURN_LEFT: 0.1534 | TURN_RIGHT: 0.2301 | FORWARD_LEFT: 0.1422 | FORWARD_RIGHT: 0.2091 | BACKWARD: 0.1450 | Selected: FORWARD (prob: 0.1204)
Episode 19 | Step 1 | State: [0.064, 0.190, 0.000, 0.000, 1.000, 1.000, 0.652, 1.000] | Action Distribution: FORWARD: 0.1215 | TURN_LEFT: 0.1550 | TURN_RIGHT: 0.2300 | FORWARD_LEFT: 0.1430 | FORWARD_RIGHT: 0.2041 | BACKWARD: 0.1465 | Selected: FORWARD (prob: 0.1215)
Episode 20 | Step 1 | State: [0.064, 0.344, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1201 | TURN_LEFT: 0.1531 | TURN_RIGHT: 0.2298 | FORWARD_LEFT: 0.1427 | FORWARD_RIGHT: 0.2099 | BACKWARD: 0.1443 | Selected: TURN_RIGHT (prob: 0.2298)
Episode 21 | Step 1 | State: [0.064, 0.363, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1200 | TURN_LEFT: 0.1530 | TURN_RIGHT: 0.2297 | FORWARD_LEFT: 0.1429 | FORWARD_RIGHT: 0.2104 | BACKWARD: 0.1440 | Selected: TURN_RIGHT (prob: 0.2297)
Episode 22 | Step 1 | State: [0.064, 0.294, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1204 | TURN_LEFT: 0.1533 | TURN_RIGHT: 0.2300 | FORWARD_LEFT: 0.1422 | FORWARD_RIGHT: 0.2091 | BACKWARD: 0.1449 | Selected: BACKWARD (prob: 0.1449)
Episode 22 | Step 2 | State: [0.158, 0.064, 0.000, 0.000, 0.170, 0.059, 0.578, 0.130] | Action Distribution: FORWARD: 0.1604 | TURN_LEFT: 0.1695 | TURN_RIGHT: 0.1818 | FORWARD_LEFT: 0.1672 | FORWARD_RIGHT: 0.1671 | BACKWARD: 0.1541 | Selected: BACKWARD (prob: 0.1541)
Episode 22 | Step 3 | State: [0.064, 0.064, 0.000, 0.000, 0.058, 0.121, 0.578, 0.059] | Action Distribution: FORWARD: 0.1660 | TURN_LEFT: 0.1693 | TURN_RIGHT: 0.1768 | FORWARD_LEFT: 0.1659 | FORWARD_RIGHT: 0.1657 | BACKWARD: 0.1564 | Selected: FORWARD_RIGHT (prob: 0.1657)
Episode 23 | Step 1 | State: [0.064, 0.136, 0.000, 0.000, 1.000, 0.059, 0.609, 1.000] | Action Distribution: FORWARD: 0.1241 | TURN_LEFT: 0.1391 | TURN_RIGHT: 0.2124 | FORWARD_LEFT: 0.1507 | FORWARD_RIGHT: 0.2049 | BACKWARD: 0.1689 | Selected: FORWARD (prob: 0.1241)
Episode 24 | Step 1 | State: [0.305, 0.064, 0.000, 0.000, 1.000, 1.000, 0.614, 0.059] | Action Distribution: FORWARD: 0.1334 | TURN_LEFT: 0.1737 | TURN_RIGHT: 0.2469 | FORWARD_LEFT: 0.1311 | FORWARD_RIGHT: 0.1923 | BACKWARD: 0.1227 | Selected: FORWARD_RIGHT (prob: 0.1923)
Episode 25 | Step 1 | State: [0.088, 0.385, 0.000, 0.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1378 | TURN_LEFT: 0.1711 | TURN_RIGHT: 0.2418 | FORWARD_LEFT: 0.1336 | FORWARD_RIGHT: 0.1965 | BACKWARD: 0.1193 | Selected: FORWARD_RIGHT (prob: 0.1965)
Episode 26 | Step 1 | State: [0.296, 0.064, 0.000, 0.000, 1.000, 1.000, 0.651, 0.059] | Action Distribution: FORWARD: 0.1346 | TURN_LEFT: 0.1744 | TURN_RIGHT: 0.2467 | FORWARD_LEFT: 0.1316 | FORWARD_RIGHT: 0.1904 | BACKWARD: 0.1223 | Selected: BACKWARD (prob: 0.1223)
Episode 27 | Step 1 | State: [1.000, 0.065, 0.000, 0.000, 0.418, 0.059, 0.579, 0.059] | Action Distribution: FORWARD: 0.1451 | TURN_LEFT: 0.1771 | TURN_RIGHT: 0.2112 | FORWARD_LEFT: 0.1604 | FORWARD_RIGHT: 0.1740 | BACKWARD: 0.1323 | Selected: TURN_LEFT (prob: 0.1771)
Episode 28 | Step 1 | State: [1.000, 0.064, 0.000, 0.000, 0.405, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1455 | TURN_LEFT: 0.1774 | TURN_RIGHT: 0.2109 | FORWARD_LEFT: 0.1602 | FORWARD_RIGHT: 0.1738 | BACKWARD: 0.1322 | Selected: BACKWARD (prob: 0.1322)
Episode 29 | Step 1 | State: [1.000, 0.022, 0.000, 0.000, 1.000, 1.000, 0.029, 1.000] | Action Distribution: FORWARD: 0.0975 | TURN_LEFT: 0.1621 | TURN_RIGHT: 0.2805 | FORWARD_LEFT: 0.1144 | FORWARD_RIGHT: 0.2203 | BACKWARD: 0.1252 | Selected: TURN_RIGHT (prob: 0.2805)
Episode 30 | Step 1 | State: [1.000, 0.090, 0.000, 0.000, 0.058, 0.225, 0.586, 0.113] | Action Distribution: FORWARD: 0.1472 | TURN_LEFT: 0.1807 | TURN_RIGHT: 0.2192 | FORWARD_LEFT: 0.1544 | FORWARD_RIGHT: 0.1709 | BACKWARD: 0.1276 | Selected: FORWARD (prob: 0.1472)
Episode 30 | Step 2 | State: [0.150, 0.065, 0.000, 0.000, 0.058, 0.199, 0.604, 0.059] | Action Distribution: FORWARD: 0.1652 | TURN_LEFT: 0.1712 | TURN_RIGHT: 0.1797 | FORWARD_LEFT: 0.1661 | FORWARD_RIGHT: 0.1652 | BACKWARD: 0.1525 | Selected: TURN_RIGHT (prob: 0.1797)
Episode 30 | Step 3 | State: [0.101, 0.064, 0.000, 0.000, 0.058, 0.208, 0.626, 0.059] | Action Distribution: FORWARD: 0.1659 | TURN_LEFT: 0.1716 | TURN_RIGHT: 0.1785 | FORWARD_LEFT: 0.1657 | FORWARD_RIGHT: 0.1646 | BACKWARD: 0.1536 | Selected: FORWARD (prob: 0.1659)
Episode 31 | Step 1 | State: [0.064, 0.073, 0.000, 0.000, 0.213, 0.858, 0.578, 0.177] | Action Distribution: FORWARD: 0.1669 | TURN_LEFT: 0.1721 | TURN_RIGHT: 0.1913 | FORWARD_LEFT: 0.1584 | FORWARD_RIGHT: 0.1703 | BACKWARD: 0.1409 | Selected: FORWARD (prob: 0.1669)
Episode 32 | Step 1 | State: [0.169, 0.115, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1188 | TURN_LEFT: 0.1552 | TURN_RIGHT: 0.2362 | FORWARD_LEFT: 0.1394 | FORWARD_RIGHT: 0.2070 | BACKWARD: 0.1434 | Selected: FORWARD_RIGHT (prob: 0.2070)
Episode 33 | Step 1 | State: [0.392, 0.088, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1147 | TURN_LEFT: 0.1586 | TURN_RIGHT: 0.2479 | FORWARD_LEFT: 0.1358 | FORWARD_RIGHT: 0.2062 | BACKWARD: 0.1368 | Selected: TURN_RIGHT (prob: 0.2479)
Episode 34 | Step 1 | State: [0.505, 0.064, 0.000, 0.000, 1.000, 1.000, 0.586, 1.000] | Action Distribution: FORWARD: 0.1129 | TURN_LEFT: 0.1601 | TURN_RIGHT: 0.2540 | FORWARD_LEFT: 0.1339 | FORWARD_RIGHT: 0.2049 | BACKWARD: 0.1341 | Selected: FORWARD (prob: 0.1129)
Episode 35 | Step 1 | State: [0.178, 0.135, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1185 | TURN_LEFT: 0.1551 | TURN_RIGHT: 0.2366 | FORWARD_LEFT: 0.1396 | FORWARD_RIGHT: 0.2074 | BACKWARD: 0.1428 | Selected: FORWARD_RIGHT (prob: 0.2074)
Episode 36 | Step 1 | State: [0.256, 0.114, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1170 | TURN_LEFT: 0.1564 | TURN_RIGHT: 0.2408 | FORWARD_LEFT: 0.1383 | FORWARD_RIGHT: 0.2071 | BACKWARD: 0.1405 | Selected: TURN_RIGHT (prob: 0.2408)
Episode 37 | Step 1 | State: [0.327, 0.091, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1158 | TURN_LEFT: 0.1576 | TURN_RIGHT: 0.2445 | FORWARD_LEFT: 0.1368 | FORWARD_RIGHT: 0.2067 | BACKWARD: 0.1386 | Selected: FORWARD_LEFT (prob: 0.1368)
Episode 38 | Step 1 | State: [0.286, 0.111, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1164 | TURN_LEFT: 0.1568 | TURN_RIGHT: 0.2424 | FORWARD_LEFT: 0.1377 | FORWARD_RIGHT: 0.2071 | BACKWARD: 0.1395 | Selected: FORWARD (prob: 0.1164)
Episode 39 | Step 1 | State: [0.258, 0.113, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1170 | TURN_LEFT: 0.1564 | TURN_RIGHT: 0.2409 | FORWARD_LEFT: 0.1382 | FORWARD_RIGHT: 0.2071 | BACKWARD: 0.1405 | Selected: FORWARD_RIGHT (prob: 0.2071)
Episode 40 | Step 1 | State: [0.242, 0.115, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1173 | TURN_LEFT: 0.1562 | TURN_RIGHT: 0.2400 | FORWARD_LEFT: 0.1385 | FORWARD_RIGHT: 0.2071 | BACKWARD: 0.1409 | Selected: FORWARD_RIGHT (prob: 0.2071)
Episode 41 | Step 1 | State: [0.224, 0.118, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1176 | TURN_LEFT: 0.1559 | TURN_RIGHT: 0.2391 | FORWARD_LEFT: 0.1388 | FORWARD_RIGHT: 0.2072 | BACKWARD: 0.1415 | Selected: FORWARD_LEFT (prob: 0.1388)
Episode 42 | Step 1 | State: [0.208, 0.120, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1179 | TURN_LEFT: 0.1556 | TURN_RIGHT: 0.2382 | FORWARD_LEFT: 0.1390 | FORWARD_RIGHT: 0.2073 | BACKWARD: 0.1420 | Selected: FORWARD (prob: 0.1179)
Episode 43 | Step 1 | State: [0.197, 0.133, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1181 | TURN_LEFT: 0.1554 | TURN_RIGHT: 0.2376 | FORWARD_LEFT: 0.1393 | FORWARD_RIGHT: 0.2075 | BACKWARD: 0.1422 | Selected: TURN_RIGHT (prob: 0.2376)
Episode 44 | Step 1 | State: [0.234, 0.115, 0.000, 0.000, 1.000, 1.000, 0.580, 1.000] | Action Distribution: FORWARD: 0.1174 | TURN_LEFT: 0.1561 | TURN_RIGHT: 0.2396 | FORWARD_LEFT: 0.1386 | FORWARD_RIGHT: 0.2071 | BACKWARD: 0.1412 | Selected: BACKWARD (prob: 0.1412)
Episode 44 | Step 2 | State: [0.631, 0.064, 0.000, 0.000, 0.157, 0.059, 0.588, 0.248] | Action Distribution: FORWARD: 0.1552 | TURN_LEFT: 0.1719 | TURN_RIGHT: 0.1978 | FORWARD_LEFT: 0.1625 | FORWARD_RIGHT: 0.1729 | BACKWARD: 0.1397 | Selected: TURN_RIGHT (prob: 0.1978)
Episode 45 | Step 1 | State: [0.834, 0.064, 0.000, 0.000, 0.152, 0.059, 0.603, 0.208] | Action Distribution: FORWARD: 0.1519 | TURN_LEFT: 0.1757 | TURN_RIGHT: 0.2050 | FORWARD_LEFT: 0.1588 | FORWARD_RIGHT: 0.1741 | BACKWARD: 0.1345 | Selected: TURN_LEFT (prob: 0.1757)
Episode 45 | Step 2 | State: [0.628, 0.064, 0.000, 0.000, 0.157, 0.059, 0.588, 0.249] | Action Distribution: FORWARD: 0.1552 | TURN_LEFT: 0.1719 | TURN_RIGHT: 0.1977 | FORWARD_LEFT: 0.1626 | FORWARD_RIGHT: 0.1728 | BACKWARD: 0.1398 | Selected: TURN_RIGHT (prob: 0.1977)
Episode 46 | Step 1 | State: [0.841, 0.064, 0.000, 0.000, 0.152, 0.059, 0.603, 0.208] | Action Distribution: FORWARD: 0.1518 | TURN_LEFT: 0.1758 | TURN_RIGHT: 0.2052 | FORWARD_LEFT: 0.1587 | FORWARD_RIGHT: 0.1741 | BACKWARD: 0.1344 | Selected: BACKWARD (prob: 0.1344)
Episode 47 | Step 1 | State: [1.000, 0.242, 0.000, 0.000, 0.058, 0.247, 1.000, 0.346] | Action Distribution: FORWARD: 0.1522 | TURN_LEFT: 0.1739 | TURN_RIGHT: 0.2210 | FORWARD_LEFT: 0.1609 | FORWARD_RIGHT: 0.1733 | BACKWARD: 0.1186 | Selected: FORWARD_RIGHT (prob: 0.1733)
Episode 48 | Step 1 | State: [0.661, 0.483, 0.000, 0.000, 1.000, 0.897, 0.991, 0.059] | Action Distribution: FORWARD: 0.1298 | TURN_LEFT: 0.1754 | TURN_RIGHT: 0.2613 | FORWARD_LEFT: 0.1381 | FORWARD_RIGHT: 0.1848 | BACKWARD: 0.1108 | Selected: FORWARD (prob: 0.1298)
Episode 49 | Step 1 | State: [0.234, 0.358, 0.000, 0.000, 1.000, 1.000, 0.720, 1.000] | Action Distribution: FORWARD: 0.1184 | TURN_LEFT: 0.1560 | TURN_RIGHT: 0.2368 | FORWARD_LEFT: 0.1442 | FORWARD_RIGHT: 0.2054 | BACKWARD: 0.1393 | Selected: FORWARD (prob: 0.1184)
Episode 50 | Step 1 | State: [0.337, 0.259, 0.000, 0.000, 1.000, 1.000, 0.725, 0.059] | Action Distribution: FORWARD: 0.1327 | TURN_LEFT: 0.1721 | TURN_RIGHT: 0.2517 | FORWARD_LEFT: 0.1348 | FORWARD_RIGHT: 0.1892 | BACKWARD: 0.1194 | Selected: TURN_LEFT (prob: 0.1721)
Episode 51 | Step 1 | State: [0.360, 0.232, 0.000, 0.000, 1.000, 1.000, 0.717, 0.059] | Action Distribution: FORWARD: 0.1320 | TURN_LEFT: 0.1721 | TURN_RIGHT: 0.2523 | FORWARD_LEFT: 0.1343 | FORWARD_RIGHT: 0.1896 | BACKWARD: 0.1197 | Selected: FORWARD_LEFT (prob: 0.1343)
Episode 52 | Step 1 | State: [0.208, 0.376, 0.000, 0.000, 1.000, 1.000, 0.710, 1.000] | Action Distribution: FORWARD: 0.1188 | TURN_LEFT: 0.1555 | TURN_RIGHT: 0.2354 | FORWARD_LEFT: 0.1445 | FORWARD_RIGHT: 0.2060 | BACKWARD: 0.1399 | Selected: FORWARD_RIGHT (prob: 0.2060)
Episode 53 | Step 1 | State: [0.304, 0.297, 0.000, 0.000, 1.000, 1.000, 0.730, 1.000] | Action Distribution: FORWARD: 0.1172 | TURN_LEFT: 0.1570 | TURN_RIGHT: 0.2405 | FORWARD_LEFT: 0.1432 | FORWARD_RIGHT: 0.2043 | BACKWARD: 0.1378 | Selected: FORWARD_RIGHT (prob: 0.2043)
Episode 54 | Step 1 | State: [0.281, 0.320, 0.000, 0.000, 1.000, 1.000, 0.730, 1.000] | Action Distribution: FORWARD: 0.1176 | TURN_LEFT: 0.1567 | TURN_RIGHT: 0.2392 | FORWARD_LEFT: 0.1436 | FORWARD_RIGHT: 0.2046 | BACKWARD: 0.1383 | Selected: FORWARD_LEFT (prob: 0.1436)
Episode 55 | Step 1 | State: [0.304, 0.297, 0.000, 0.000, 1.000, 1.000, 0.730, 1.000] | Action Distribution: FORWARD: 0.1172 | TURN_LEFT: 0.1570 | TURN_RIGHT: 0.2405 | FORWARD_LEFT: 0.1432 | FORWARD_RIGHT: 0.2043 | BACKWARD: 0.1378 | Selected: FORWARD_LEFT (prob: 0.1432)
Episode 56 | Step 1 | State: [0.276, 0.324, 0.000, 0.000, 1.000, 1.000, 0.733, 1.000] | Action Distribution: FORWARD: 0.1174 | TURN_LEFT: 0.1568 | TURN_RIGHT: 0.2393 | FORWARD_LEFT: 0.1437 | FORWARD_RIGHT: 0.2043 | BACKWARD: 0.1385 | Selected: FORWARD_RIGHT (prob: 0.2043)
Episode 57 | Step 1 | State: [0.265, 0.334, 0.000, 0.000, 1.000, 1.000, 0.727, 1.000] | Action Distribution: FORWARD: 0.1172 | TURN_LEFT: 0.1567 | TURN_RIGHT: 0.2391 | FORWARD_LEFT: 0.1438 | FORWARD_RIGHT: 0.2044 | BACKWARD: 0.1388 | Selected: TURN_RIGHT (prob: 0.2391)
Episode 58 | Step 1 | State: [0.237, 0.358, 0.000, 0.000, 1.000, 1.000, 0.722, 1.000] | Action Distribution: FORWARD: 0.1173 | TURN_LEFT: 0.1564 | TURN_RIGHT: 0.2381 | FORWARD_LEFT: 0.1441 | FORWARD_RIGHT: 0.2047 | BACKWARD: 0.1395 | Selected: TURN_RIGHT (prob: 0.2381)
Episode 59 | Step 1 | State: [0.210, 0.375, 0.000, 0.000, 1.000, 0.059, 0.711, 1.000] | Action Distribution: FORWARD: 0.1153 | TURN_LEFT: 0.1378 | TURN_RIGHT: 0.2212 | FORWARD_LEFT: 0.1547 | FORWARD_RIGHT: 0.2085 | BACKWARD: 0.1624 | Selected: BACKWARD (prob: 0.1624)
Episode 60 | Step 1 | State: [1.000, 1.000, 0.000, 0.000, 0.391, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1355 | TURN_LEFT: 0.1724 | TURN_RIGHT: 0.2410 | FORWARD_LEFT: 0.1525 | FORWARD_RIGHT: 0.1869 | BACKWARD: 0.1117 | Selected: TURN_RIGHT (prob: 0.2410)
Episode 61 | Step 1 | State: [1.000, 1.000, 0.000, 0.000, 0.304, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1372 | TURN_LEFT: 0.1728 | TURN_RIGHT: 0.2403 | FORWARD_LEFT: 0.1534 | FORWARD_RIGHT: 0.1851 | BACKWARD: 0.1111 | Selected: FORWARD_LEFT (prob: 0.1534)
Episode 62 | Step 1 | State: [0.344, 0.254, 0.000, 0.000, 1.000, 1.000, 0.724, 0.059] | Action Distribution: FORWARD: 0.1302 | TURN_LEFT: 0.1730 | TURN_RIGHT: 0.2551 | FORWARD_LEFT: 0.1345 | FORWARD_RIGHT: 0.1876 | BACKWARD: 0.1195 | Selected: FORWARD (prob: 0.1302)
Episode 63 | Step 1 | State: [0.220, 0.369, 0.000, 0.000, 1.000, 1.000, 0.715, 0.059] | Action Distribution: FORWARD: 0.1342 | TURN_LEFT: 0.1734 | TURN_RIGHT: 0.2504 | FORWARD_LEFT: 0.1348 | FORWARD_RIGHT: 0.1886 | BACKWARD: 0.1185 | Selected: TURN_LEFT (prob: 0.1734)
Episode 64 | Step 1 | State: [0.248, 0.349, 0.000, 0.000, 1.000, 1.000, 0.725, 0.059] | Action Distribution: FORWARD: 0.1331 | TURN_LEFT: 0.1735 | TURN_RIGHT: 0.2521 | FORWARD_LEFT: 0.1348 | FORWARD_RIGHT: 0.1878 | BACKWARD: 0.1186 | Selected: TURN_RIGHT (prob: 0.2521)
Episode 65 | Step 1 | State: [0.221, 0.368, 0.000, 0.000, 1.000, 1.000, 0.716, 0.059] | Action Distribution: FORWARD: 0.1337 | TURN_LEFT: 0.1736 | TURN_RIGHT: 0.2513 | FORWARD_LEFT: 0.1348 | FORWARD_RIGHT: 0.1881 | BACKWARD: 0.1186 | Selected: TURN_RIGHT (prob: 0.2513)
Episode 66 | Step 1 | State: [0.195, 0.382, 0.000, 0.000, 1.000, 1.000, 0.704, 0.059] | Action Distribution: FORWARD: 0.1341 | TURN_LEFT: 0.1737 | TURN_RIGHT: 0.2504 | FORWARD_LEFT: 0.1347 | FORWARD_RIGHT: 0.1885 | BACKWARD: 0.1186 | Selected: TURN_RIGHT (prob: 0.2504)
