Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.065, 0.065, 0.000, 0.000, 0.083, 0.383, 0.579, 0.059] | Action Distribution: FORWARD: 0.1592 | TURN_LEFT: 0.1751 | TURN_RIGHT: 0.1766 | FORWARD_LEFT: 0.1715 | FORWARD_RIGHT: 0.1618 | BACKWARD: 0.1557 | Selected: TURN_RIGHT (prob: 0.1766)
Episode 1 | Step 20 | State: [0.364, 0.077, 0.000, 0.000, 1.000, 1.000, 1.000, 0.085] | Action Distribution: FORWARD: 0.1479 | TURN_LEFT: 0.2027 | TURN_RIGHT: 0.1842 | FORWARD_LEFT: 0.1600 | FORWARD_RIGHT: 0.1623 | BACKWARD: 0.1429 | Selected: BACKWARD (prob: 0.1429)
Episode 1 | Step 21 | State: [1.000, 0.064, 0.000, 0.000, 0.224, 0.530, 1.000, 0.059] | Action Distribution: FORWARD: 0.1499 | TURN_LEFT: 0.2088 | TURN_RIGHT: 0.1856 | FORWARD_LEFT: 0.1553 | FORWARD_RIGHT: 0.1625 | BACKWARD: 0.1379 | Selected: TURN_RIGHT (prob: 0.1856)
Episode 1 | Step 22 | State: [1.000, 0.065, 0.000, 0.000, 0.240, 0.542, 1.000, 0.059] | Action Distribution: FORWARD: 0.1498 | TURN_LEFT: 0.2093 | TURN_RIGHT: 0.1853 | FORWARD_LEFT: 0.1552 | FORWARD_RIGHT: 0.1625 | BACKWARD: 0.1379 | Selected: TURN_LEFT (prob: 0.2093)
Episode 1 | Step 23 | State: [1.000, 0.064, 0.000, 0.000, 0.206, 0.536, 1.000, 0.059] | Action Distribution: FORWARD: 0.1501 | TURN_LEFT: 0.2086 | TURN_RIGHT: 0.1861 | FORWARD_LEFT: 0.1554 | FORWARD_RIGHT: 0.1620 | BACKWARD: 0.1377 | Selected: FORWARD (prob: 0.1501)
Episode 1 | Step 24 | State: [0.064, 0.201, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1381 | TURN_LEFT: 0.1901 | TURN_RIGHT: 0.1875 | FORWARD_LEFT: 0.1730 | FORWARD_RIGHT: 0.1545 | BACKWARD: 0.1567 | Selected: BACKWARD (prob: 0.1567)
Episode 1 | Step 25 | State: [0.284, 0.064, 0.000, 0.000, 0.171, 0.066, 0.578, 0.059] | Action Distribution: FORWARD: 0.1566 | TURN_LEFT: 0.1856 | TURN_RIGHT: 0.1682 | FORWARD_LEFT: 0.1664 | FORWARD_RIGHT: 0.1714 | BACKWARD: 0.1519 | Selected: TURN_RIGHT (prob: 0.1682)
Episode 1 | Step 26 | State: [0.378, 0.064, 0.000, 0.000, 0.157, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1567 | TURN_LEFT: 0.1861 | TURN_RIGHT: 0.1705 | FORWARD_LEFT: 0.1648 | FORWARD_RIGHT: 0.1704 | BACKWARD: 0.1516 | Selected: FORWARD_LEFT (prob: 0.1648)
Episode 1 | Step 27 | State: [0.064, 0.114, 0.000, 0.000, 0.210, 0.589, 0.739, 0.059] | Action Distribution: FORWARD: 0.1569 | TURN_LEFT: 0.1783 | TURN_RIGHT: 0.1797 | FORWARD_LEFT: 0.1723 | FORWARD_RIGHT: 0.1601 | BACKWARD: 0.1527 | Selected: BACKWARD (prob: 0.1527)
Episode 1 | Step 28 | State: [1.000, 1.000, 0.000, 0.000, 0.058, 0.191, 1.000, 0.059] | Action Distribution: FORWARD: 0.1428 | TURN_LEFT: 0.1939 | TURN_RIGHT: 0.2179 | FORWARD_LEFT: 0.1651 | FORWARD_RIGHT: 0.1642 | BACKWARD: 0.1161 | Selected: FORWARD (prob: 0.1428)
Episode 1 | Step 29 | State: [0.064, 0.064, 0.000, 0.000, 0.613, 0.665, 0.611, 0.059] | Action Distribution: FORWARD: 0.1567 | TURN_LEFT: 0.1843 | TURN_RIGHT: 0.1790 | FORWARD_LEFT: 0.1659 | FORWARD_RIGHT: 0.1617 | BACKWARD: 0.1526 | Selected: TURN_LEFT (prob: 0.1843)
Episode 1 | Step 30 | State: [0.065, 0.065, 0.000, 0.000, 0.584, 0.625, 0.625, 0.059] | Action Distribution: FORWARD: 0.1564 | TURN_LEFT: 0.1847 | TURN_RIGHT: 0.1774 | FORWARD_LEFT: 0.1664 | FORWARD_RIGHT: 0.1624 | BACKWARD: 0.1527 | Selected: TURN_LEFT (prob: 0.1847)
Episode 1 | Step 31 | State: [0.064, 0.064, 0.000, 0.000, 0.471, 0.581, 0.612, 0.059] | Action Distribution: FORWARD: 0.1567 | TURN_LEFT: 0.1839 | TURN_RIGHT: 0.1763 | FORWARD_LEFT: 0.1668 | FORWARD_RIGHT: 0.1630 | BACKWARD: 0.1532 | Selected: FORWARD_LEFT (prob: 0.1668)
Episode 1 | Step 32 | State: [0.064, 0.064, 0.000, 0.000, 0.727, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1573 | TURN_LEFT: 0.1804 | TURN_RIGHT: 0.1869 | FORWARD_LEFT: 0.1659 | FORWARD_RIGHT: 0.1578 | BACKWARD: 0.1518 | Selected: TURN_LEFT (prob: 0.1804)
Episode 1 | Step 33 | State: [0.064, 0.088, 0.000, 0.000, 0.317, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1629 | TURN_LEFT: 0.1731 | TURN_RIGHT: 0.1882 | FORWARD_LEFT: 0.1683 | FORWARD_RIGHT: 0.1544 | BACKWARD: 0.1531 | Selected: FORWARD_LEFT (prob: 0.1683)
Episode 1 | Step 34 | State: [0.090, 0.065, 0.000, 0.000, 1.000, 1.000, 0.586, 1.000] | Action Distribution: FORWARD: 0.1397 | TURN_LEFT: 0.1905 | TURN_RIGHT: 0.1873 | FORWARD_LEFT: 0.1699 | FORWARD_RIGHT: 0.1535 | BACKWARD: 0.1591 | Selected: TURN_RIGHT (prob: 0.1873)
Episode 1 | Step 35 | State: [0.120, 0.064, 0.000, 0.000, 1.000, 0.435, 0.578, 1.000] | Action Distribution: FORWARD: 0.1435 | TURN_LEFT: 0.2017 | TURN_RIGHT: 0.1728 | FORWARD_LEFT: 0.1678 | FORWARD_RIGHT: 0.1576 | BACKWARD: 0.1565 | Selected: FORWARD_LEFT (prob: 0.1678)
Episode 1 | Step 36 | State: [0.117, 0.065, 0.000, 0.000, 1.000, 0.228, 0.586, 1.000] | Action Distribution: FORWARD: 0.1424 | TURN_LEFT: 0.2070 | TURN_RIGHT: 0.1662 | FORWARD_LEFT: 0.1692 | FORWARD_RIGHT: 0.1610 | BACKWARD: 0.1543 | Selected: FORWARD (prob: 0.1424)
Episode 1 | Step 37 | State: [0.144, 0.085, 0.000, 0.000, 1.000, 0.383, 0.578, 1.000] | Action Distribution: FORWARD: 0.1431 | TURN_LEFT: 0.2032 | TURN_RIGHT: 0.1709 | FORWARD_LEFT: 0.1684 | FORWARD_RIGHT: 0.1584 | BACKWARD: 0.1560 | Selected: TURN_LEFT (prob: 0.2032)
Episode 1 | Step 38 | State: [0.119, 0.064, 0.000, 0.000, 1.000, 0.441, 0.578, 1.000] | Action Distribution: FORWARD: 0.1436 | TURN_LEFT: 0.2015 | TURN_RIGHT: 0.1730 | FORWARD_LEFT: 0.1678 | FORWARD_RIGHT: 0.1576 | BACKWARD: 0.1566 | Selected: FORWARD_LEFT (prob: 0.1678)
Episode 1 | Step 39 | State: [0.114, 0.064, 0.000, 0.000, 1.000, 0.189, 0.586, 1.000] | Action Distribution: FORWARD: 0.1422 | TURN_LEFT: 0.2078 | TURN_RIGHT: 0.1650 | FORWARD_LEFT: 0.1693 | FORWARD_RIGHT: 0.1618 | BACKWARD: 0.1539 | Selected: BACKWARD (prob: 0.1539)
Episode 1 | Step 40 | State: [1.000, 0.066, 0.000, 0.000, 0.133, 0.058, 0.594, 0.059] | Action Distribution: FORWARD: 0.1506 | TURN_LEFT: 0.1950 | TURN_RIGHT: 0.1844 | FORWARD_LEFT: 0.1587 | FORWARD_RIGHT: 0.1622 | BACKWARD: 0.1491 | Selected: TURN_RIGHT (prob: 0.1844)
Episode 1 | Step 41 | State: [1.000, 0.064, 0.000, 0.000, 0.109, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1510 | TURN_LEFT: 0.1946 | TURN_RIGHT: 0.1847 | FORWARD_LEFT: 0.1589 | FORWARD_RIGHT: 0.1619 | BACKWARD: 0.1490 | Selected: BACKWARD (prob: 0.1490)
Episode 1 | Step 42 | State: [1.000, 0.100, 0.000, 0.000, 0.100, 0.087, 0.337, 0.087] | Action Distribution: FORWARD: 0.1549 | TURN_LEFT: 0.1929 | TURN_RIGHT: 0.1846 | FORWARD_LEFT: 0.1614 | FORWARD_RIGHT: 0.1565 | BACKWARD: 0.1496 | Selected: TURN_RIGHT (prob: 0.1846)
Episode 1 | Step 43 | State: [1.000, 0.159, 0.000, 0.000, 0.059, 0.059, 0.577, 0.059] | Action Distribution: FORWARD: 0.1521 | TURN_LEFT: 0.1931 | TURN_RIGHT: 0.1884 | FORWARD_LEFT: 0.1598 | FORWARD_RIGHT: 0.1611 | BACKWARD: 0.1456 | Selected: FORWARD_LEFT (prob: 0.1598)
Episode 1 | Step 44 | State: [0.064, 0.199, 0.000, 0.000, 0.110, 0.183, 0.586, 0.059] | Action Distribution: FORWARD: 0.1570 | TURN_LEFT: 0.1776 | TURN_RIGHT: 0.1741 | FORWARD_LEFT: 0.1731 | FORWARD_RIGHT: 0.1659 | BACKWARD: 0.1523 | Selected: FORWARD (prob: 0.1570)
Episode 1 | Step 45 | State: [0.097, 0.064, 0.000, 0.000, 1.000, 1.000, 0.598, 0.432] | Action Distribution: FORWARD: 0.1485 | TURN_LEFT: 0.1894 | TURN_RIGHT: 0.1850 | FORWARD_LEFT: 0.1659 | FORWARD_RIGHT: 0.1566 | BACKWARD: 0.1545 | Selected: BACKWARD (prob: 0.1545)
Episode 1 | Step 46 | State: [1.000, 0.064, 0.000, 0.000, 0.154, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1471 | TURN_LEFT: 0.2023 | TURN_RIGHT: 0.1838 | FORWARD_LEFT: 0.1560 | FORWARD_RIGHT: 0.1681 | BACKWARD: 0.1428 | Selected: TURN_RIGHT (prob: 0.1838)
Episode 1 | Step 47 | State: [1.000, 0.064, 0.000, 0.000, 0.166, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1469 | TURN_LEFT: 0.2024 | TURN_RIGHT: 0.1835 | FORWARD_LEFT: 0.1560 | FORWARD_RIGHT: 0.1683 | BACKWARD: 0.1429 | Selected: FORWARD_RIGHT (prob: 0.1683)
Episode 1 | Step 48 | State: [0.064, 0.147, 0.000, 0.000, 0.081, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.1491 | TURN_LEFT: 0.1749 | TURN_RIGHT: 0.1901 | FORWARD_LEFT: 0.1788 | FORWARD_RIGHT: 0.1536 | BACKWARD: 0.1536 | Selected: FORWARD (prob: 0.1491)
Episode 1 | Step 49 | State: [0.064, 0.064, 0.000, 0.000, 1.000, 0.791, 0.590, 1.000] | Action Distribution: FORWARD: 0.1413 | TURN_LEFT: 0.1942 | TURN_RIGHT: 0.1827 | FORWARD_LEFT: 0.1683 | FORWARD_RIGHT: 0.1547 | BACKWARD: 0.1590 | Selected: BACKWARD (prob: 0.1590)
Episode 1 | Step 50 | State: [1.000, 0.064, 0.000, 0.000, 0.106, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1477 | TURN_LEFT: 0.2012 | TURN_RIGHT: 0.1853 | FORWARD_LEFT: 0.1561 | FORWARD_RIGHT: 0.1674 | BACKWARD: 0.1423 | Selected: FORWARD (prob: 0.1477)
Episode 1 | Step 51 | State: [0.064, 0.064, 0.000, 0.000, 0.795, 0.503, 0.602, 0.875] | Action Distribution: FORWARD: 0.1456 | TURN_LEFT: 0.1924 | TURN_RIGHT: 0.1773 | FORWARD_LEFT: 0.1675 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1575 | Selected: TURN_LEFT (prob: 0.1924)
Episode 1 | Step 52 | State: [0.064, 0.064, 0.000, 0.000, 1.000, 0.541, 0.594, 0.506] | Action Distribution: FORWARD: 0.1500 | TURN_LEFT: 0.1921 | TURN_RIGHT: 0.1730 | FORWARD_LEFT: 0.1681 | FORWARD_RIGHT: 0.1595 | BACKWARD: 0.1573 | Selected: TURN_RIGHT (prob: 0.1730)
Episode 1 | Step 53 | State: [0.064, 0.064, 0.000, 0.000, 0.778, 0.496, 0.602, 0.878] | Action Distribution: FORWARD: 0.1456 | TURN_LEFT: 0.1922 | TURN_RIGHT: 0.1774 | FORWARD_LEFT: 0.1676 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1574 | Selected: BACKWARD (prob: 0.1574)
Episode 1 | Step 54 | State: [1.000, 0.064, 0.000, 0.000, 0.080, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1481 | TURN_LEFT: 0.2006 | TURN_RIGHT: 0.1862 | FORWARD_LEFT: 0.1561 | FORWARD_RIGHT: 0.1669 | BACKWARD: 0.1420 | Selected: BACKWARD (prob: 0.1420)
Episode 1 | Step 55 | State: [1.000, 0.000, 0.000, 0.000, 1.000, 1.000, 1.000, 1.000] | Action Distribution: FORWARD: 0.1358 | TURN_LEFT: 0.2205 | TURN_RIGHT: 0.1869 | FORWARD_LEFT: 0.1550 | FORWARD_RIGHT: 0.1605 | BACKWARD: 0.1414 | Selected: BACKWARD (prob: 0.1414)
Episode 1 | Step 56 | State: [1.000, 0.000, 0.000, 0.000, 1.000, 1.000, 1.000, 1.000] | Action Distribution: FORWARD: 0.1358 | TURN_LEFT: 0.2205 | TURN_RIGHT: 0.1869 | FORWARD_LEFT: 0.1550 | FORWARD_RIGHT: 0.1605 | BACKWARD: 0.1414 | Selected: FORWARD_RIGHT (prob: 0.1605)
Episode 1 | Step 57 | State: [0.064, 0.177, 0.000, 0.000, 0.080, 0.199, 0.578, 0.199] | Action Distribution: FORWARD: 0.1573 | TURN_LEFT: 0.1757 | TURN_RIGHT: 0.1769 | FORWARD_LEFT: 0.1743 | FORWARD_RIGHT: 0.1641 | BACKWARD: 0.1518 | Selected: TURN_RIGHT (prob: 0.1769)
Episode 1 | Step 58 | State: [0.064, 0.118, 0.000, 0.000, 0.058, 0.243, 0.578, 0.198] | Action Distribution: FORWARD: 0.1581 | TURN_LEFT: 0.1749 | TURN_RIGHT: 0.1772 | FORWARD_LEFT: 0.1736 | FORWARD_RIGHT: 0.1631 | BACKWARD: 0.1531 | Selected: TURN_LEFT (prob: 0.1749)
Episode 1 | Step 59 | State: [0.064, 0.177, 0.000, 0.000, 0.080, 0.199, 0.578, 0.199] | Action Distribution: FORWARD: 0.1573 | TURN_LEFT: 0.1757 | TURN_RIGHT: 0.1769 | FORWARD_LEFT: 0.1743 | FORWARD_RIGHT: 0.1641 | BACKWARD: 0.1518 | Selected: FORWARD_RIGHT (prob: 0.1641)
Episode 1 | Step 60 | State: [0.194, 0.065, 0.000, 0.000, 1.000, 0.724, 0.594, 0.080] | Action Distribution: FORWARD: 0.1537 | TURN_LEFT: 0.1889 | TURN_RIGHT: 0.1795 | FORWARD_LEFT: 0.1631 | FORWARD_RIGHT: 0.1620 | BACKWARD: 0.1527 | Selected: TURN_RIGHT (prob: 0.1795)
Episode 1 | Step 61 | State: [0.222, 0.065, 0.000, 0.000, 1.000, 0.438, 0.588, 0.059] | Action Distribution: FORWARD: 0.1531 | TURN_LEFT: 0.1919 | TURN_RIGHT: 0.1697 | FORWARD_LEFT: 0.1666 | FORWARD_RIGHT: 0.1650 | BACKWARD: 0.1538 | Selected: FORWARD_LEFT (prob: 0.1666)
Episode 1 | Step 62 | State: [0.643, 0.168, 0.000, 0.000, 1.000, 0.059, 0.760, 0.714] | Action Distribution: FORWARD: 0.1438 | TURN_LEFT: 0.2045 | TURN_RIGHT: 0.1646 | FORWARD_LEFT: 0.1687 | FORWARD_RIGHT: 0.1671 | BACKWARD: 0.1513 | Selected: TURN_RIGHT (prob: 0.1646)
Episode 1 | Step 63 | State: [0.654, 0.220, 0.000, 0.000, 1.000, 0.059, 0.795, 1.000] | Action Distribution: FORWARD: 0.1413 | TURN_LEFT: 0.2090 | TURN_RIGHT: 0.1661 | FORWARD_LEFT: 0.1696 | FORWARD_RIGHT: 0.1662 | BACKWARD: 0.1479 | Selected: TURN_RIGHT (prob: 0.1661)
Episode 1 | Step 64 | State: [0.654, 0.266, 0.000, 0.000, 1.000, 0.059, 0.828, 1.000] | Action Distribution: FORWARD: 0.1403 | TURN_LEFT: 0.2104 | TURN_RIGHT: 0.1662 | FORWARD_LEFT: 0.1696 | FORWARD_RIGHT: 0.1677 | BACKWARD: 0.1458 | Selected: BACKWARD (prob: 0.1458)
Episode 1 | Step 65 | State: [1.000, 1.000, 0.000, 0.000, 0.271, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1420 | TURN_LEFT: 0.1999 | TURN_RIGHT: 0.2076 | FORWARD_LEFT: 0.1672 | FORWARD_RIGHT: 0.1683 | BACKWARD: 0.1149 | Selected: FORWARD_RIGHT (prob: 0.1683)
Episode 1 | Step 66 | State: [0.064, 0.269, 0.000, 0.000, 0.135, 0.059, 0.619, 0.060] | Action Distribution: FORWARD: 0.1555 | TURN_LEFT: 0.1794 | TURN_RIGHT: 0.1718 | FORWARD_LEFT: 0.1743 | FORWARD_RIGHT: 0.1686 | BACKWARD: 0.1503 | Selected: FORWARD_RIGHT (prob: 0.1686)
Episode 1 | Step 67 | State: [0.065, 0.289, 0.000, 0.000, 0.058, 0.105, 0.654, 0.059] | Action Distribution: FORWARD: 0.1565 | TURN_LEFT: 0.1775 | TURN_RIGHT: 0.1770 | FORWARD_LEFT: 0.1747 | FORWARD_RIGHT: 0.1655 | BACKWARD: 0.1489 | Selected: FORWARD_LEFT (prob: 0.1747)
Episode 1 | Step 68 | State: [0.064, 0.107, 0.000, 0.000, 0.094, 0.059, 0.580, 0.059] | Action Distribution: FORWARD: 0.1569 | TURN_LEFT: 0.1789 | TURN_RIGHT: 0.1692 | FORWARD_LEFT: 0.1729 | FORWARD_RIGHT: 0.1678 | BACKWARD: 0.1542 | Selected: FORWARD_RIGHT (prob: 0.1678)
Episode 1 | Step 69 | State: [0.278, 0.064, 0.000, 0.000, 0.058, 0.059, 0.600, 1.000] | Action Distribution: FORWARD: 0.1491 | TURN_LEFT: 0.1792 | TURN_RIGHT: 0.1908 | FORWARD_LEFT: 0.1741 | FORWARD_RIGHT: 0.1557 | BACKWARD: 0.1511 | Selected: BACKWARD (prob: 0.1511)
Episode 1 | Step 70 | State: [1.000, 0.064, 0.000, 0.000, 0.058, 0.059, 0.578, 0.090] | Action Distribution: FORWARD: 0.1500 | TURN_LEFT: 0.1958 | TURN_RIGHT: 0.1848 | FORWARD_LEFT: 0.1593 | FORWARD_RIGHT: 0.1627 | BACKWARD: 0.1474 | Selected: TURN_LEFT (prob: 0.1958)
Episode 1 | Step 71 | State: [1.000, 0.086, 0.000, 0.000, 0.059, 0.059, 0.577, 0.090] | Action Distribution: FORWARD: 0.1500 | TURN_LEFT: 0.1958 | TURN_RIGHT: 0.1853 | FORWARD_LEFT: 0.1596 | FORWARD_RIGHT: 0.1626 | BACKWARD: 0.1466 | Selected: FORWARD_RIGHT (prob: 0.1626)
Episode 1 | Step 72 | State: [0.064, 0.473, 0.000, 0.000, 0.177, 0.059, 0.591, 0.060] | Action Distribution: FORWARD: 0.1523 | TURN_LEFT: 0.1825 | TURN_RIGHT: 0.1750 | FORWARD_LEFT: 0.1745 | FORWARD_RIGHT: 0.1702 | BACKWARD: 0.1456 | Selected: FORWARD_LEFT (prob: 0.1745)
Episode 1 | Step 73 | State: [0.086, 0.065, 0.000, 0.000, 0.058, 0.260, 0.584, 0.059] | Action Distribution: FORWARD: 0.1575 | TURN_LEFT: 0.1779 | TURN_RIGHT: 0.1737 | FORWARD_LEFT: 0.1716 | FORWARD_RIGHT: 0.1646 | BACKWARD: 0.1548 | Selected: BACKWARD (prob: 0.1548)
Episode 1 | Step 74 | State: [0.064, 0.175, 0.000, 0.000, 0.058, 0.182, 0.578, 0.080] | Action Distribution: FORWARD: 0.1570 | TURN_LEFT: 0.1772 | TURN_RIGHT: 0.1748 | FORWARD_LEFT: 0.1737 | FORWARD_RIGHT: 0.1649 | BACKWARD: 0.1523 | Selected: BACKWARD (prob: 0.1523)
Episode 1 | Step 75 | State: [0.089, 0.064, 0.000, 0.000, 0.058, 0.059, 0.578, 0.136] | Action Distribution: FORWARD: 0.1568 | TURN_LEFT: 0.1794 | TURN_RIGHT: 0.1703 | FORWARD_LEFT: 0.1725 | FORWARD_RIGHT: 0.1673 | BACKWARD: 0.1537 | Selected: FORWARD_LEFT (prob: 0.1725)
