Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.086, 0.167, 0.000, 0.000, 1.000, 1.000, 0.617, 0.059] | Action Distribution: FORWARD: 0.1339 | TURN_LEFT: 0.1447 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1968 | FORWARD_RIGHT: 0.1598 | BACKWARD: 0.1886 | Selected: FORWARD_RIGHT (prob: 0.1598)
Episode 1 | Step 12 | State: [0.087, 0.188, 0.000, 0.000, 1.000, 1.000, 0.617, 1.000] | Action Distribution: FORWARD: 0.1218 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1831 | FORWARD_LEFT: 0.2180 | FORWARD_RIGHT: 0.1579 | BACKWARD: 0.1850 | Selected: TURN_LEFT (prob: 0.1342)
Episode 1 | Step 13 | State: [0.109, 0.206, 0.000, 0.000, 1.000, 1.000, 0.616, 0.059] | Action Distribution: FORWARD: 0.1342 | TURN_LEFT: 0.1433 | TURN_RIGHT: 0.1767 | FORWARD_LEFT: 0.1964 | FORWARD_RIGHT: 0.1604 | BACKWARD: 0.1891 | Selected: TURN_RIGHT (prob: 0.1767)
Episode 1 | Step 14 | State: [0.086, 0.187, 0.000, 0.000, 1.000, 1.000, 0.615, 1.000] | Action Distribution: FORWARD: 0.1218 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1831 | FORWARD_LEFT: 0.2180 | FORWARD_RIGHT: 0.1579 | BACKWARD: 0.1851 | Selected: TURN_RIGHT (prob: 0.1831)
Episode 1 | Step 15 | State: [0.078, 0.169, 0.000, 0.000, 1.000, 1.000, 0.615, 1.000] | Action Distribution: FORWARD: 0.1216 | TURN_LEFT: 0.1344 | TURN_RIGHT: 0.1832 | FORWARD_LEFT: 0.2180 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1851 | Selected: TURN_RIGHT (prob: 0.1832)
Episode 1 | Step 16 | State: [0.064, 0.162, 0.000, 0.000, 1.000, 1.000, 0.613, 1.000] | Action Distribution: FORWARD: 0.1216 | TURN_LEFT: 0.1347 | TURN_RIGHT: 0.1830 | FORWARD_LEFT: 0.2182 | FORWARD_RIGHT: 0.1576 | BACKWARD: 0.1849 | Selected: FORWARD (prob: 0.1216)
Episode 1 | Step 17 | State: [0.086, 0.174, 0.000, 0.000, 1.000, 1.000, 0.625, 1.000] | Action Distribution: FORWARD: 0.1218 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1833 | FORWARD_LEFT: 0.2180 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1849 | Selected: TURN_LEFT (prob: 0.1343)
Episode 1 | Step 18 | State: [0.087, 0.194, 0.000, 0.000, 1.000, 1.000, 0.619, 1.000] | Action Distribution: FORWARD: 0.1219 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1830 | FORWARD_LEFT: 0.2181 | FORWARD_RIGHT: 0.1580 | BACKWARD: 0.1849 | Selected: BACKWARD (prob: 0.1849)
Episode 1 | Step 19 | State: [0.143, 0.207, 0.000, 0.000, 1.000, 0.142, 0.629, 0.059] | Action Distribution: FORWARD: 0.1510 | TURN_LEFT: 0.1449 | TURN_RIGHT: 0.1782 | FORWARD_LEFT: 0.1973 | FORWARD_RIGHT: 0.1550 | BACKWARD: 0.1735 | Selected: FORWARD_LEFT (prob: 0.1973)
Episode 1 | Step 20 | State: [0.134, 0.226, 0.000, 0.000, 1.000, 1.000, 0.617, 0.059] | Action Distribution: FORWARD: 0.1342 | TURN_LEFT: 0.1423 | TURN_RIGHT: 0.1771 | FORWARD_LEFT: 0.1962 | FORWARD_RIGHT: 0.1609 | BACKWARD: 0.1893 | Selected: FORWARD_LEFT (prob: 0.1962)
Episode 1 | Step 21 | State: [0.133, 0.220, 0.000, 0.000, 1.000, 1.000, 0.622, 0.058] | Action Distribution: FORWARD: 0.1342 | TURN_LEFT: 0.1426 | TURN_RIGHT: 0.1771 | FORWARD_LEFT: 0.1962 | FORWARD_RIGHT: 0.1608 | BACKWARD: 0.1892 | Selected: TURN_RIGHT (prob: 0.1771)
Episode 1 | Step 22 | State: [0.109, 0.203, 0.000, 0.000, 1.000, 1.000, 0.615, 0.059] | Action Distribution: FORWARD: 0.1342 | TURN_LEFT: 0.1434 | TURN_RIGHT: 0.1766 | FORWARD_LEFT: 0.1964 | FORWARD_RIGHT: 0.1604 | BACKWARD: 0.1890 | Selected: BACKWARD (prob: 0.1890)
Episode 1 | Step 23 | State: [0.169, 0.225, 0.000, 0.000, 1.000, 0.484, 0.629, 0.059] | Action Distribution: FORWARD: 0.1438 | TURN_LEFT: 0.1464 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1960 | FORWARD_RIGHT: 0.1588 | BACKWARD: 0.1787 | Selected: FORWARD_RIGHT (prob: 0.1588)
Episode 1 | Step 24 | State: [0.086, 0.179, 0.000, 0.000, 1.000, 1.000, 0.617, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1832 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1578 | BACKWARD: 0.1851 | Selected: BACKWARD (prob: 0.1851)
Episode 1 | Step 25 | State: [0.142, 0.201, 0.000, 0.000, 1.000, 0.059, 0.631, 0.059] | Action Distribution: FORWARD: 0.1521 | TURN_LEFT: 0.1448 | TURN_RIGHT: 0.1790 | FORWARD_LEFT: 0.1972 | FORWARD_RIGHT: 0.1550 | BACKWARD: 0.1720 | Selected: FORWARD (prob: 0.1521)
Episode 1 | Step 26 | State: [0.086, 0.179, 0.000, 0.000, 1.000, 1.000, 0.617, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1832 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1578 | BACKWARD: 0.1851 | Selected: FORWARD_RIGHT (prob: 0.1578)
Episode 1 | Step 27 | State: [0.085, 0.174, 0.000, 0.000, 1.000, 1.000, 0.619, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1833 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1851 | Selected: TURN_LEFT (prob: 0.1343)
Episode 1 | Step 28 | State: [0.087, 0.197, 0.000, 0.000, 1.000, 1.000, 0.618, 1.000] | Action Distribution: FORWARD: 0.1219 | TURN_LEFT: 0.1341 | TURN_RIGHT: 0.1829 | FORWARD_LEFT: 0.2181 | FORWARD_RIGHT: 0.1580 | BACKWARD: 0.1849 | Selected: BACKWARD (prob: 0.1849)
Episode 1 | Step 29 | State: [0.143, 0.210, 0.000, 0.000, 1.000, 0.059, 0.628, 0.059] | Action Distribution: FORWARD: 0.1522 | TURN_LEFT: 0.1445 | TURN_RIGHT: 0.1791 | FORWARD_LEFT: 0.1973 | FORWARD_RIGHT: 0.1550 | BACKWARD: 0.1718 | Selected: TURN_LEFT (prob: 0.1445)
Episode 1 | Step 30 | State: [0.173, 0.248, 0.000, 0.000, 1.000, 0.503, 0.629, 0.059] | Action Distribution: FORWARD: 0.1436 | TURN_LEFT: 0.1459 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1961 | FORWARD_RIGHT: 0.1593 | BACKWARD: 0.1790 | Selected: FORWARD_RIGHT (prob: 0.1593)
Episode 1 | Step 31 | State: [0.100, 0.188, 0.000, 0.000, 1.000, 1.000, 0.617, 1.000] | Action Distribution: FORWARD: 0.1218 | TURN_LEFT: 0.1339 | TURN_RIGHT: 0.1833 | FORWARD_LEFT: 0.2177 | FORWARD_RIGHT: 0.1579 | BACKWARD: 0.1853 | Selected: FORWARD_LEFT (prob: 0.2177)
Episode 1 | Step 32 | State: [0.085, 0.175, 0.000, 0.000, 1.000, 1.000, 0.618, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1833 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1851 | Selected: FORWARD_LEFT (prob: 0.2179)
Episode 1 | Step 33 | State: [0.086, 0.179, 0.000, 0.000, 1.000, 1.000, 0.622, 1.000] | Action Distribution: FORWARD: 0.1218 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1832 | FORWARD_LEFT: 0.2180 | FORWARD_RIGHT: 0.1578 | BACKWARD: 0.1849 | Selected: TURN_RIGHT (prob: 0.1832)
Episode 1 | Step 34 | State: [0.064, 0.167, 0.000, 0.000, 1.000, 1.000, 0.613, 1.000] | Action Distribution: FORWARD: 0.1216 | TURN_LEFT: 0.1347 | TURN_RIGHT: 0.1829 | FORWARD_LEFT: 0.2182 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1849 | Selected: FORWARD (prob: 0.1216)
Episode 1 | Step 35 | State: [0.085, 0.182, 0.000, 0.000, 1.000, 1.000, 0.614, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1831 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1579 | BACKWARD: 0.1851 | Selected: TURN_LEFT (prob: 0.1342)
Episode 1 | Step 36 | State: [0.086, 0.205, 0.000, 0.000, 1.000, 1.000, 0.616, 1.000] | Action Distribution: FORWARD: 0.1220 | TURN_LEFT: 0.1341 | TURN_RIGHT: 0.1828 | FORWARD_LEFT: 0.2182 | FORWARD_RIGHT: 0.1581 | BACKWARD: 0.1849 | Selected: TURN_RIGHT (prob: 0.1828)
Episode 1 | Step 37 | State: [0.079, 0.181, 0.000, 0.000, 1.000, 1.000, 0.621, 1.000] | Action Distribution: FORWARD: 0.1218 | TURN_LEFT: 0.1344 | TURN_RIGHT: 0.1830 | FORWARD_LEFT: 0.2182 | FORWARD_RIGHT: 0.1578 | BACKWARD: 0.1848 | Selected: BACKWARD (prob: 0.1848)
Episode 1 | Step 38 | State: [0.114, 0.197, 0.000, 0.000, 1.000, 0.059, 0.627, 0.059] | Action Distribution: FORWARD: 0.1523 | TURN_LEFT: 0.1455 | TURN_RIGHT: 0.1784 | FORWARD_LEFT: 0.1969 | FORWARD_RIGHT: 0.1548 | BACKWARD: 0.1721 | Selected: TURN_LEFT (prob: 0.1455)
Episode 1 | Step 39 | State: [0.143, 0.216, 0.000, 0.000, 1.000, 0.059, 0.629, 0.059] | Action Distribution: FORWARD: 0.1523 | TURN_LEFT: 0.1444 | TURN_RIGHT: 0.1791 | FORWARD_LEFT: 0.1975 | FORWARD_RIGHT: 0.1551 | BACKWARD: 0.1717 | Selected: TURN_LEFT (prob: 0.1444)
Episode 1 | Step 40 | State: [0.172, 0.260, 0.000, 0.000, 1.000, 0.504, 0.629, 0.059] | Action Distribution: FORWARD: 0.1437 | TURN_LEFT: 0.1457 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1962 | FORWARD_RIGHT: 0.1594 | BACKWARD: 0.1790 | Selected: FORWARD (prob: 0.1437)
Episode 1 | Step 41 | State: [0.110, 0.219, 0.000, 0.000, 1.000, 1.000, 0.615, 1.000] | Action Distribution: FORWARD: 0.1221 | TURN_LEFT: 0.1336 | TURN_RIGHT: 0.1829 | FORWARD_LEFT: 0.2178 | FORWARD_RIGHT: 0.1583 | BACKWARD: 0.1852 | Selected: TURN_LEFT (prob: 0.1336)
Episode 1 | Step 42 | State: [0.133, 0.235, 0.000, 0.000, 1.000, 1.000, 0.615, 0.059] | Action Distribution: FORWARD: 0.1343 | TURN_LEFT: 0.1421 | TURN_RIGHT: 0.1770 | FORWARD_LEFT: 0.1962 | FORWARD_RIGHT: 0.1610 | BACKWARD: 0.1893 | Selected: FORWARD_RIGHT (prob: 0.1610)
Episode 1 | Step 43 | State: [0.078, 0.171, 0.000, 0.000, 1.000, 1.000, 0.614, 1.000] | Action Distribution: FORWARD: 0.1216 | TURN_LEFT: 0.1344 | TURN_RIGHT: 0.1832 | FORWARD_LEFT: 0.2180 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1851 | Selected: FORWARD (prob: 0.1216)
Episode 1 | Step 44 | State: [0.086, 0.178, 0.000, 0.000, 1.000, 1.000, 0.621, 1.000] | Action Distribution: FORWARD: 0.1218 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1832 | FORWARD_LEFT: 0.2180 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1850 | Selected: FORWARD (prob: 0.1218)
Episode 1 | Step 45 | State: [0.085, 0.182, 0.000, 0.000, 1.000, 1.000, 0.614, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1831 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1578 | BACKWARD: 0.1851 | Selected: BACKWARD (prob: 0.1851)
Episode 1 | Step 46 | State: [0.115, 0.198, 0.000, 0.000, 1.000, 0.059, 0.627, 0.059] | Action Distribution: FORWARD: 0.1523 | TURN_LEFT: 0.1454 | TURN_RIGHT: 0.1784 | FORWARD_LEFT: 0.1970 | FORWARD_RIGHT: 0.1548 | BACKWARD: 0.1721 | Selected: FORWARD (prob: 0.1523)
Episode 1 | Step 47 | State: [0.085, 0.181, 0.000, 0.000, 1.000, 1.000, 0.614, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1831 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1578 | BACKWARD: 0.1851 | Selected: FORWARD_RIGHT (prob: 0.1578)
Episode 1 | Step 48 | State: [0.086, 0.187, 0.000, 0.000, 1.000, 1.000, 0.621, 1.000] | Action Distribution: FORWARD: 0.1219 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1831 | FORWARD_LEFT: 0.2181 | FORWARD_RIGHT: 0.1579 | BACKWARD: 0.1849 | Selected: FORWARD_RIGHT (prob: 0.1579)
Episode 1 | Step 49 | State: [0.085, 0.191, 0.000, 0.000, 1.000, 1.000, 0.619, 1.000] | Action Distribution: FORWARD: 0.1219 | TURN_LEFT: 0.1342 | TURN_RIGHT: 0.1830 | FORWARD_LEFT: 0.2181 | FORWARD_RIGHT: 0.1579 | BACKWARD: 0.1849 | Selected: BACKWARD (prob: 0.1849)
Episode 1 | Step 50 | State: [0.115, 0.203, 0.000, 0.000, 1.000, 0.059, 0.627, 0.619] | Action Distribution: FORWARD: 0.1344 | TURN_LEFT: 0.1415 | TURN_RIGHT: 0.1818 | FORWARD_LEFT: 0.2020 | FORWARD_RIGHT: 0.1573 | BACKWARD: 0.1829 | Selected: FORWARD_RIGHT (prob: 0.1573)
Episode 1 | Step 51 | State: [0.064, 0.171, 0.000, 0.000, 1.000, 0.059, 0.615, 1.000] | Action Distribution: FORWARD: 0.1235 | TURN_LEFT: 0.1390 | TURN_RIGHT: 0.1821 | FORWARD_LEFT: 0.2053 | FORWARD_RIGHT: 0.1532 | BACKWARD: 0.1969 | Selected: TURN_RIGHT (prob: 0.1821)
Episode 1 | Step 52 | State: [0.064, 0.171, 0.000, 0.000, 1.000, 0.059, 0.612, 1.000] | Action Distribution: FORWARD: 0.1235 | TURN_LEFT: 0.1390 | TURN_RIGHT: 0.1821 | FORWARD_LEFT: 0.2053 | FORWARD_RIGHT: 0.1532 | BACKWARD: 0.1969 | Selected: TURN_LEFT (prob: 0.1390)
Episode 1 | Step 53 | State: [0.064, 0.171, 0.000, 0.000, 1.000, 0.059, 0.614, 1.000] | Action Distribution: FORWARD: 0.1235 | TURN_LEFT: 0.1390 | TURN_RIGHT: 0.1821 | FORWARD_LEFT: 0.2053 | FORWARD_RIGHT: 0.1532 | BACKWARD: 0.1969 | Selected: FORWARD_LEFT (prob: 0.2053)
Episode 1 | Step 54 | State: [0.086, 0.199, 0.000, 0.000, 1.000, 0.058, 0.620, 1.000] | Action Distribution: FORWARD: 0.1239 | TURN_LEFT: 0.1382 | TURN_RIGHT: 0.1825 | FORWARD_LEFT: 0.2060 | FORWARD_RIGHT: 0.1529 | BACKWARD: 0.1965 | Selected: TURN_LEFT (prob: 0.1382)
Episode 1 | Step 55 | State: [0.087, 0.220, 0.000, 0.000, 1.000, 1.000, 0.617, 1.000] | Action Distribution: FORWARD: 0.1222 | TURN_LEFT: 0.1340 | TURN_RIGHT: 0.1825 | FORWARD_LEFT: 0.2183 | FORWARD_RIGHT: 0.1583 | BACKWARD: 0.1847 | Selected: FORWARD_LEFT (prob: 0.2183)
Episode 1 | Step 56 | State: [0.086, 0.205, 0.000, 0.000, 1.000, 0.058, 0.621, 1.000] | Action Distribution: FORWARD: 0.1240 | TURN_LEFT: 0.1381 | TURN_RIGHT: 0.1825 | FORWARD_LEFT: 0.2062 | FORWARD_RIGHT: 0.1528 | BACKWARD: 0.1964 | Selected: FORWARD (prob: 0.1240)
Episode 1 | Step 57 | State: [0.085, 0.211, 0.000, 0.000, 1.000, 0.058, 0.618, 1.000] | Action Distribution: FORWARD: 0.1242 | TURN_LEFT: 0.1380 | TURN_RIGHT: 0.1824 | FORWARD_LEFT: 0.2063 | FORWARD_RIGHT: 0.1528 | BACKWARD: 0.1963 | Selected: FORWARD_LEFT (prob: 0.2063)
Episode 1 | Step 58 | State: [0.085, 0.215, 0.000, 0.000, 1.000, 0.058, 0.619, 1.000] | Action Distribution: FORWARD: 0.1242 | TURN_LEFT: 0.1380 | TURN_RIGHT: 0.1824 | FORWARD_LEFT: 0.2064 | FORWARD_RIGHT: 0.1528 | BACKWARD: 0.1962 | Selected: FORWARD_RIGHT (prob: 0.1528)
Episode 1 | Step 59 | State: [0.085, 0.220, 0.000, 0.000, 1.000, 0.058, 0.619, 1.000] | Action Distribution: FORWARD: 0.1243 | TURN_LEFT: 0.1379 | TURN_RIGHT: 0.1824 | FORWARD_LEFT: 0.2065 | FORWARD_RIGHT: 0.1528 | BACKWARD: 0.1961 | Selected: FORWARD_RIGHT (prob: 0.1528)
Episode 1 | Step 60 | State: [0.086, 0.226, 0.000, 0.000, 1.000, 0.058, 0.622, 1.000] | Action Distribution: FORWARD: 0.1244 | TURN_LEFT: 0.1378 | TURN_RIGHT: 0.1824 | FORWARD_LEFT: 0.2066 | FORWARD_RIGHT: 0.1527 | BACKWARD: 0.1961 | Selected: TURN_LEFT (prob: 0.1378)
Episode 1 | Step 61 | State: [0.086, 0.249, 0.000, 0.000, 1.000, 0.059, 0.616, 1.000] | Action Distribution: FORWARD: 0.1248 | TURN_LEFT: 0.1374 | TURN_RIGHT: 0.1823 | FORWARD_LEFT: 0.2071 | FORWARD_RIGHT: 0.1525 | BACKWARD: 0.1959 | Selected: TURN_LEFT (prob: 0.1374)
Episode 1 | Step 62 | State: [0.110, 0.272, 0.000, 0.000, 1.000, 0.059, 0.618, 1.000] | Action Distribution: FORWARD: 0.1251 | TURN_LEFT: 0.1365 | TURN_RIGHT: 0.1827 | FORWARD_LEFT: 0.2076 | FORWARD_RIGHT: 0.1520 | BACKWARD: 0.1960 | Selected: TURN_RIGHT (prob: 0.1827)
Episode 1 | Step 63 | State: [0.086, 0.249, 0.000, 0.000, 1.000, 0.059, 0.615, 1.000] | Action Distribution: FORWARD: 0.1248 | TURN_LEFT: 0.1374 | TURN_RIGHT: 0.1823 | FORWARD_LEFT: 0.2071 | FORWARD_RIGHT: 0.1525 | BACKWARD: 0.1959 | Selected: FORWARD_LEFT (prob: 0.2071)
Episode 1 | Step 64 | State: [0.085, 0.231, 0.000, 0.000, 1.000, 0.059, 0.614, 1.000] | Action Distribution: FORWARD: 0.1246 | TURN_LEFT: 0.1378 | TURN_RIGHT: 0.1823 | FORWARD_LEFT: 0.2067 | FORWARD_RIGHT: 0.1527 | BACKWARD: 0.1960 | Selected: TURN_LEFT (prob: 0.1378)
Episode 1 | Step 65 | State: [0.086, 0.255, 0.000, 0.000, 1.000, 0.059, 0.615, 1.000] | Action Distribution: FORWARD: 0.1250 | TURN_LEFT: 0.1371 | TURN_RIGHT: 0.1819 | FORWARD_LEFT: 0.2076 | FORWARD_RIGHT: 0.1523 | BACKWARD: 0.1961 | Selected: BACKWARD (prob: 0.1961)
Episode 1 | Step 66 | State: [0.143, 0.332, 0.000, 0.000, 1.000, 0.059, 0.628, 1.000] | Action Distribution: FORWARD: 0.1261 | TURN_LEFT: 0.1341 | TURN_RIGHT: 0.1826 | FORWARD_LEFT: 0.2096 | FORWARD_RIGHT: 0.1512 | BACKWARD: 0.1964 | Selected: FORWARD_RIGHT (prob: 0.1512)
Episode 1 | Step 67 | State: [0.085, 0.230, 0.000, 0.000, 1.000, 0.059, 0.616, 1.000] | Action Distribution: FORWARD: 0.1247 | TURN_LEFT: 0.1373 | TURN_RIGHT: 0.1814 | FORWARD_LEFT: 0.2078 | FORWARD_RIGHT: 0.1522 | BACKWARD: 0.1967 | Selected: FORWARD_LEFT (prob: 0.2078)
Episode 1 | Step 68 | State: [0.085, 0.244, 0.000, 0.000, 1.000, 0.058, 0.619, 1.000] | Action Distribution: FORWARD: 0.1249 | TURN_LEFT: 0.1368 | TURN_RIGHT: 0.1811 | FORWARD_LEFT: 0.2085 | FORWARD_RIGHT: 0.1518 | BACKWARD: 0.1969 | Selected: FORWARD (prob: 0.1249)
Episode 1 | Step 69 | State: [0.085, 0.254, 0.000, 0.000, 1.000, 0.058, 0.619, 1.000] | Action Distribution: FORWARD: 0.1251 | TURN_LEFT: 0.1365 | TURN_RIGHT: 0.1807 | FORWARD_LEFT: 0.2091 | FORWARD_RIGHT: 0.1515 | BACKWARD: 0.1970 | Selected: FORWARD (prob: 0.1251)
Episode 1 | Step 70 | State: [0.085, 0.259, 0.000, 0.000, 1.000, 0.058, 0.619, 1.000] | Action Distribution: FORWARD: 0.1252 | TURN_LEFT: 0.1363 | TURN_RIGHT: 0.1804 | FORWARD_LEFT: 0.2096 | FORWARD_RIGHT: 0.1513 | BACKWARD: 0.1972 | Selected: FORWARD_RIGHT (prob: 0.1513)
Episode 1 | Step 71 | State: [0.085, 0.263, 0.000, 0.000, 1.000, 0.058, 0.619, 1.000] | Action Distribution: FORWARD: 0.1253 | TURN_LEFT: 0.1361 | TURN_RIGHT: 0.1801 | FORWARD_LEFT: 0.2100 | FORWARD_RIGHT: 0.1510 | BACKWARD: 0.1974 | Selected: TURN_LEFT (prob: 0.1361)
Episode 1 | Step 72 | State: [0.086, 0.291, 0.000, 0.000, 1.000, 0.059, 0.615, 1.000] | Action Distribution: FORWARD: 0.1259 | TURN_LEFT: 0.1355 | TURN_RIGHT: 0.1795 | FORWARD_LEFT: 0.2111 | FORWARD_RIGHT: 0.1506 | BACKWARD: 0.1974 | Selected: FORWARD_RIGHT (prob: 0.1506)
Episode 1 | Step 73 | State: [0.085, 0.267, 0.000, 0.000, 1.000, 0.059, 0.615, 1.000] | Action Distribution: FORWARD: 0.1255 | TURN_LEFT: 0.1358 | TURN_RIGHT: 0.1793 | FORWARD_LEFT: 0.2110 | FORWARD_RIGHT: 0.1506 | BACKWARD: 0.1977 | Selected: FORWARD_LEFT (prob: 0.2110)
Episode 1 | Step 74 | State: [0.087, 0.297, 0.000, 0.000, 1.000, 0.058, 0.622, 1.000] | Action Distribution: FORWARD: 0.1260 | TURN_LEFT: 0.1350 | TURN_RIGHT: 0.1790 | FORWARD_LEFT: 0.2120 | FORWARD_RIGHT: 0.1500 | BACKWARD: 0.1980 | Selected: FORWARD (prob: 0.1260)
