Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.057, 0.020, 0.198, 0.020] | Action Distribution: FORWARD: 0.2632 | TURN_LEFT: 0.1663 | TURN_RIGHT: 0.1319 | FORWARD_LEFT: 0.2584 | FORWARD_RIGHT: 0.1338 | BACKWARD: 0.0463 | Selected: FORWARD_LEFT (prob: 0.2584)
Episode 2 | Step 2 | State: [0.021, 0.021, 0.000, 0.000, 0.114, 0.020, 0.195, 0.020] | Action Distribution: FORWARD: 0.1827 | TURN_LEFT: 0.1453 | TURN_RIGHT: 0.2057 | FORWARD_LEFT: 0.2377 | FORWARD_RIGHT: 0.1294 | BACKWARD: 0.0991 | Selected: FORWARD_LEFT (prob: 0.2377)
Episode 2 | Step 3 | State: [0.021, 0.073, 0.000, 0.000, 0.155, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0797 | TURN_LEFT: 0.0876 | TURN_RIGHT: 0.3638 | FORWARD_LEFT: 0.1167 | FORWARD_RIGHT: 0.1506 | BACKWARD: 0.2016 | Selected: FORWARD_LEFT (prob: 0.1167)
Episode 2 | Step 4 | State: [0.021, 0.127, 0.000, 0.000, 0.180, 0.034, 0.193, 0.020] | Action Distribution: FORWARD: 0.0258 | TURN_LEFT: 0.0450 | TURN_RIGHT: 0.4720 | FORWARD_LEFT: 0.0302 | FORWARD_RIGHT: 0.1611 | BACKWARD: 0.2659 | Selected: TURN_RIGHT (prob: 0.4720)
Episode 2 | Step 5 | State: [0.021, 0.092, 0.000, 0.000, 0.242, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0091 | TURN_LEFT: 0.0275 | TURN_RIGHT: 0.4550 | FORWARD_LEFT: 0.0082 | FORWARD_RIGHT: 0.0633 | BACKWARD: 0.4370 | Selected: TURN_RIGHT (prob: 0.4550)
Episode 2 | Step 6 | State: [0.021, 0.063, 0.000, 0.000, 0.262, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0087 | TURN_LEFT: 0.0282 | TURN_RIGHT: 0.4297 | FORWARD_LEFT: 0.0071 | FORWARD_RIGHT: 0.0512 | BACKWARD: 0.4751 | Selected: FORWARD_RIGHT (prob: 0.0512)
Episode 2 | Step 7 | State: [0.021, 0.036, 0.000, 0.000, 0.592, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0000 | TURN_LEFT: 0.0002 | TURN_RIGHT: 0.0253 | FORWARD_LEFT: 0.0000 | FORWARD_RIGHT: 0.0004 | BACKWARD: 0.9741 | Selected: BACKWARD (prob: 0.9741)
Episode 2 | Step 8 | State: [0.021, 0.021, 0.000, 0.000, 0.247, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0254 | TURN_LEFT: 0.0534 | TURN_RIGHT: 0.3999 | FORWARD_LEFT: 0.0231 | FORWARD_RIGHT: 0.0607 | BACKWARD: 0.4375 | Selected: BACKWARD (prob: 0.4375)
Episode 2 | Step 9 | State: [0.021, 0.021, 0.000, 0.000, 0.153, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1343 | TURN_LEFT: 0.1284 | TURN_RIGHT: 0.2754 | FORWARD_LEFT: 0.1825 | FORWARD_RIGHT: 0.1161 | BACKWARD: 0.1632 | Selected: FORWARD_LEFT (prob: 0.1825)
Episode 2 | Step 10 | State: [0.021, 0.043, 0.000, 0.000, 0.209, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0426 | TURN_LEFT: 0.0709 | TURN_RIGHT: 0.4108 | FORWARD_LEFT: 0.0479 | FORWARD_RIGHT: 0.0871 | BACKWARD: 0.3407 | Selected: TURN_RIGHT (prob: 0.4108)
Episode 3 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.220, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0461 | TURN_LEFT: 0.0779 | TURN_RIGHT: 0.3962 | FORWARD_LEFT: 0.0484 | FORWARD_RIGHT: 0.0777 | BACKWARD: 0.3537 | Selected: TURN_LEFT (prob: 0.0779)
Episode 3 | Step 2 | State: [0.021, 0.043, 0.000, 0.000, 0.208, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0434 | TURN_LEFT: 0.0717 | TURN_RIGHT: 0.4098 | FORWARD_LEFT: 0.0489 | FORWARD_RIGHT: 0.0877 | BACKWARD: 0.3386 | Selected: FORWARD_LEFT (prob: 0.0489)
Episode 3 | Step 3 | State: [0.021, 0.080, 0.000, 0.000, 0.299, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0029 | TURN_LEFT: 0.0144 | TURN_RIGHT: 0.3767 | FORWARD_LEFT: 0.0016 | FORWARD_RIGHT: 0.0343 | BACKWARD: 0.5701 | Selected: BACKWARD (prob: 0.5701)
Episode 3 | Step 4 | State: [0.021, 0.074, 0.000, 0.000, 0.176, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0534 | TURN_LEFT: 0.0723 | TURN_RIGHT: 0.4105 | FORWARD_LEFT: 0.0716 | FORWARD_RIGHT: 0.1293 | BACKWARD: 0.2629 | Selected: FORWARD_RIGHT (prob: 0.1293)
Episode 3 | Step 5 | State: [0.021, 0.041, 0.000, 0.000, 0.292, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0054 | TURN_LEFT: 0.0209 | TURN_RIGHT: 0.3431 | FORWARD_LEFT: 0.0030 | FORWARD_RIGHT: 0.0337 | BACKWARD: 0.5941 | Selected: BACKWARD (prob: 0.5941)
Episode 3 | Step 6 | State: [0.021, 0.021, 0.000, 0.000, 0.173, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1063 | TURN_LEFT: 0.1183 | TURN_RIGHT: 0.3205 | FORWARD_LEFT: 0.1342 | FORWARD_RIGHT: 0.1027 | BACKWARD: 0.2179 | Selected: TURN_LEFT (prob: 0.1183)
Episode 3 | Step 7 | State: [0.021, 0.050, 0.000, 0.000, 0.157, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1005 | TURN_LEFT: 0.1050 | TURN_RIGHT: 0.3282 | FORWARD_LEFT: 0.1414 | FORWARD_RIGHT: 0.1297 | BACKWARD: 0.1952 | Selected: TURN_LEFT (prob: 0.1050)
Episode 3 | Step 8 | State: [0.021, 0.085, 0.000, 0.000, 0.122, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1161 | TURN_LEFT: 0.0975 | TURN_RIGHT: 0.2965 | FORWARD_LEFT: 0.1769 | FORWARD_RIGHT: 0.1886 | BACKWARD: 0.1243 | Selected: BACKWARD (prob: 0.1243)
Episode 3 | Step 9 | State: [0.021, 0.104, 0.000, 0.000, 0.085, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1381 | TURN_LEFT: 0.0999 | TURN_RIGHT: 0.2598 | FORWARD_LEFT: 0.1901 | FORWARD_RIGHT: 0.2242 | BACKWARD: 0.0879 | Selected: TURN_LEFT (prob: 0.0999)
Episode 3 | Step 10 | State: [0.021, 0.160, 0.000, 0.000, 0.062, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0862 | TURN_LEFT: 0.0632 | TURN_RIGHT: 0.2816 | FORWARD_LEFT: 0.0880 | FORWARD_RIGHT: 0.4042 | BACKWARD: 0.0767 | Selected: FORWARD_RIGHT (prob: 0.4042)
Episode 4 | Step 1 | State: [0.021, 0.085, 0.000, 0.000, 0.115, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1274 | TURN_LEFT: 0.1015 | TURN_RIGHT: 0.2776 | FORWARD_LEFT: 0.1917 | FORWARD_RIGHT: 0.1907 | BACKWARD: 0.1111 | Selected: FORWARD_RIGHT (prob: 0.1907)
Episode 4 | Step 2 | State: [0.021, 0.064, 0.000, 0.000, 0.220, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0246 | TURN_LEFT: 0.0488 | TURN_RIGHT: 0.4391 | FORWARD_LEFT: 0.0268 | FORWARD_RIGHT: 0.0808 | BACKWARD: 0.3799 | Selected: BACKWARD (prob: 0.3799)
Episode 4 | Step 3 | State: [0.021, 0.049, 0.000, 0.000, 0.140, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1271 | TURN_LEFT: 0.1149 | TURN_RIGHT: 0.2815 | FORWARD_LEFT: 0.1885 | FORWARD_RIGHT: 0.1385 | BACKWARD: 0.1495 | Selected: TURN_RIGHT (prob: 0.2815)
Episode 4 | Step 4 | State: [0.021, 0.021, 0.000, 0.000, 0.149, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1388 | TURN_LEFT: 0.1299 | TURN_RIGHT: 0.2679 | FORWARD_LEFT: 0.1895 | FORWARD_RIGHT: 0.1183 | BACKWARD: 0.1555 | Selected: FORWARD (prob: 0.1388)
Episode 4 | Step 5 | State: [0.021, 0.041, 0.000, 0.000, 0.237, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0242 | TURN_LEFT: 0.0508 | TURN_RIGHT: 0.4243 | FORWARD_LEFT: 0.0240 | FORWARD_RIGHT: 0.0683 | BACKWARD: 0.4084 | Selected: FORWARD_RIGHT (prob: 0.0683)
Episode 4 | Step 6 | State: [0.021, 0.021, 0.000, 0.000, 0.422, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0002 | TURN_LEFT: 0.0028 | TURN_RIGHT: 0.1152 | FORWARD_LEFT: 0.0000 | FORWARD_RIGHT: 0.0048 | BACKWARD: 0.8770 | Selected: TURN_RIGHT (prob: 0.1152)
Episode 4 | Step 7 | State: [0.021, 0.021, 0.000, 0.000, 0.433, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0002 | TURN_LEFT: 0.0023 | TURN_RIGHT: 0.1038 | FORWARD_LEFT: 0.0000 | FORWARD_RIGHT: 0.0040 | BACKWARD: 0.8897 | Selected: BACKWARD (prob: 0.8897)
Episode 4 | Step 8 | State: [0.021, 0.021, 0.000, 0.000, 0.232, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0359 | TURN_LEFT: 0.0668 | TURN_RIGHT: 0.4037 | FORWARD_LEFT: 0.0361 | FORWARD_RIGHT: 0.0708 | BACKWARD: 0.3866 | Selected: TURN_RIGHT (prob: 0.4037)
Episode 4 | Step 9 | State: [0.021, 0.021, 0.000, 0.000, 0.235, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0333 | TURN_LEFT: 0.0637 | TURN_RIGHT: 0.4047 | FORWARD_LEFT: 0.0328 | FORWARD_RIGHT: 0.0684 | BACKWARD: 0.3971 | Selected: BACKWARD (prob: 0.3971)
Episode 4 | Step 10 | State: [0.022, 0.022, 0.000, 0.000, 0.147, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1408 | TURN_LEFT: 0.1306 | TURN_RIGHT: 0.2646 | FORWARD_LEFT: 0.1926 | FORWARD_RIGHT: 0.1193 | BACKWARD: 0.1520 | Selected: TURN_LEFT (prob: 0.1306)
Episode 5 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.144, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1445 | TURN_LEFT: 0.1319 | TURN_RIGHT: 0.2585 | FORWARD_LEFT: 0.1978 | FORWARD_RIGHT: 0.1210 | BACKWARD: 0.1462 | Selected: TURN_LEFT (prob: 0.1319)
Episode 5 | Step 2 | State: [0.021, 0.021, 0.000, 0.000, 0.139, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1501 | TURN_LEFT: 0.1336 | TURN_RIGHT: 0.2493 | FORWARD_LEFT: 0.2059 | FORWARD_RIGHT: 0.1235 | BACKWARD: 0.1376 | Selected: FORWARD (prob: 0.1501)
Episode 5 | Step 3 | State: [0.021, 0.021, 0.000, 0.000, 0.218, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0482 | TURN_LEFT: 0.0800 | TURN_RIGHT: 0.3941 | FORWARD_LEFT: 0.0510 | FORWARD_RIGHT: 0.0789 | BACKWARD: 0.3477 | Selected: FORWARD_RIGHT (prob: 0.0789)
Episode 5 | Step 4 | State: [0.037, 0.021, 0.000, 0.000, 0.370, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0011 | TURN_LEFT: 0.0075 | TURN_RIGHT: 0.1863 | FORWARD_LEFT: 0.0002 | FORWARD_RIGHT: 0.0113 | BACKWARD: 0.7935 | Selected: BACKWARD (prob: 0.7935)
Episode 5 | Step 5 | State: [0.021, 0.021, 0.000, 0.000, 0.205, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0615 | TURN_LEFT: 0.0918 | TURN_RIGHT: 0.3805 | FORWARD_LEFT: 0.0683 | FORWARD_RIGHT: 0.0862 | BACKWARD: 0.3118 | Selected: BACKWARD (prob: 0.3118)
Episode 5 | Step 6 | State: [0.021, 0.021, 0.000, 0.000, 0.132, 0.020, 0.197, 0.020] | Action Distribution: FORWARD: 0.1617 | TURN_LEFT: 0.1374 | TURN_RIGHT: 0.2322 | FORWARD_LEFT: 0.2205 | FORWARD_RIGHT: 0.1267 | BACKWARD: 0.1213 | Selected: TURN_RIGHT (prob: 0.2322)
Episode 5 | Step 7 | State: [0.021, 0.021, 0.000, 0.000, 0.134, 0.020, 0.195, 0.020] | Action Distribution: FORWARD: 0.1583 | TURN_LEFT: 0.1363 | TURN_RIGHT: 0.2371 | FORWARD_LEFT: 0.2164 | FORWARD_RIGHT: 0.1260 | BACKWARD: 0.1260 | Selected: TURN_LEFT (prob: 0.1363)
Episode 5 | Step 8 | State: [0.021, 0.021, 0.000, 0.000, 0.131, 0.020, 0.197, 0.020] | Action Distribution: FORWARD: 0.1628 | TURN_LEFT: 0.1378 | TURN_RIGHT: 0.2307 | FORWARD_LEFT: 0.2217 | FORWARD_RIGHT: 0.1270 | BACKWARD: 0.1200 | Selected: FORWARD_LEFT (prob: 0.2217)
Episode 5 | Step 9 | State: [0.021, 0.021, 0.000, 0.000, 0.179, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0977 | TURN_LEFT: 0.1144 | TURN_RIGHT: 0.3331 | FORWARD_LEFT: 0.1204 | FORWARD_RIGHT: 0.1002 | BACKWARD: 0.2341 | Selected: FORWARD (prob: 0.0977)
Episode 5 | Step 10 | State: [0.021, 0.021, 0.000, 0.000, 0.301, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0054 | TURN_LEFT: 0.0207 | TURN_RIGHT: 0.3012 | FORWARD_LEFT: 0.0026 | FORWARD_RIGHT: 0.0284 | BACKWARD: 0.6418 | Selected: BACKWARD (prob: 0.6418)
Episode 6 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.176, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1013 | TURN_LEFT: 0.1161 | TURN_RIGHT: 0.3279 | FORWARD_LEFT: 0.1262 | FORWARD_RIGHT: 0.1013 | BACKWARD: 0.2272 | Selected: BACKWARD (prob: 0.2272)
Episode 6 | Step 2 | State: [0.022, 0.022, 0.000, 0.000, 0.117, 0.020, 0.198, 0.020] | Action Distribution: FORWARD: 0.1797 | TURN_LEFT: 0.1440 | TURN_RIGHT: 0.2089 | FORWARD_LEFT: 0.2368 | FORWARD_RIGHT: 0.1293 | BACKWARD: 0.1013 | Selected: FORWARD_LEFT (prob: 0.2368)
Episode 6 | Step 3 | State: [0.021, 0.021, 0.000, 0.000, 0.153, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1340 | TURN_LEFT: 0.1284 | TURN_RIGHT: 0.2760 | FORWARD_LEFT: 0.1820 | FORWARD_RIGHT: 0.1159 | BACKWARD: 0.1638 | Selected: FORWARD_LEFT (prob: 0.1820)
Episode 6 | Step 4 | State: [0.021, 0.040, 0.000, 0.000, 0.167, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0949 | TURN_LEFT: 0.1063 | TURN_RIGHT: 0.3367 | FORWARD_LEFT: 0.1266 | FORWARD_RIGHT: 0.1163 | BACKWARD: 0.2192 | Selected: TURN_RIGHT (prob: 0.3367)
Episode 6 | Step 5 | State: [0.021, 0.021, 0.000, 0.000, 0.222, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0447 | TURN_LEFT: 0.0764 | TURN_RIGHT: 0.3974 | FORWARD_LEFT: 0.0468 | FORWARD_RIGHT: 0.0769 | BACKWARD: 0.3578 | Selected: FORWARD_RIGHT (prob: 0.0769)
Episode 6 | Step 6 | State: [0.021, 0.021, 0.000, 0.000, 0.393, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0005 | TURN_LEFT: 0.0046 | TURN_RIGHT: 0.1503 | FORWARD_LEFT: 0.0001 | FORWARD_RIGHT: 0.0077 | BACKWARD: 0.8369 | Selected: BACKWARD (prob: 0.8369)
Episode 6 | Step 7 | State: [0.021, 0.021, 0.000, 0.000, 0.214, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0525 | TURN_LEFT: 0.0843 | TURN_RIGHT: 0.3901 | FORWARD_LEFT: 0.0564 | FORWARD_RIGHT: 0.0813 | BACKWARD: 0.3355 | Selected: FORWARD_RIGHT (prob: 0.0813)
Episode 6 | Step 8 | State: [0.040, 0.021, 0.000, 0.000, 0.360, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0015 | TURN_LEFT: 0.0091 | TURN_RIGHT: 0.2022 | FORWARD_LEFT: 0.0004 | FORWARD_RIGHT: 0.0133 | BACKWARD: 0.7736 | Selected: BACKWARD (prob: 0.7736)
Episode 6 | Step 9 | State: [0.021, 0.021, 0.000, 0.000, 0.201, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0669 | TURN_LEFT: 0.0957 | TURN_RIGHT: 0.3743 | FORWARD_LEFT: 0.0756 | FORWARD_RIGHT: 0.0889 | BACKWARD: 0.2986 | Selected: TURN_RIGHT (prob: 0.3743)
Episode 6 | Step 10 | State: [0.047, 0.021, 0.000, 0.000, 0.204, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0750 | TURN_LEFT: 0.1065 | TURN_RIGHT: 0.3629 | FORWARD_LEFT: 0.0801 | FORWARD_RIGHT: 0.0855 | BACKWARD: 0.2900 | Selected: TURN_LEFT (prob: 0.1065)
Episode 7 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.200, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0677 | TURN_LEFT: 0.0963 | TURN_RIGHT: 0.3733 | FORWARD_LEFT: 0.0768 | FORWARD_RIGHT: 0.0893 | BACKWARD: 0.2965 | Selected: FORWARD (prob: 0.0677)
Episode 7 | Step 2 | State: [0.040, 0.021, 0.000, 0.000, 0.353, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0018 | TURN_LEFT: 0.0102 | TURN_RIGHT: 0.2128 | FORWARD_LEFT: 0.0005 | FORWARD_RIGHT: 0.0146 | BACKWARD: 0.7601 | Selected: BACKWARD (prob: 0.7601)
Episode 7 | Step 3 | State: [0.021, 0.021, 0.000, 0.000, 0.199, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0695 | TURN_LEFT: 0.0976 | TURN_RIGHT: 0.3711 | FORWARD_LEFT: 0.0794 | FORWARD_RIGHT: 0.0902 | BACKWARD: 0.2922 | Selected: FORWARD (prob: 0.0695)
Episode 7 | Step 4 | State: [0.040, 0.021, 0.000, 0.000, 0.348, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0020 | TURN_LEFT: 0.0110 | TURN_RIGHT: 0.2201 | FORWARD_LEFT: 0.0005 | FORWARD_RIGHT: 0.0156 | BACKWARD: 0.7508 | Selected: BACKWARD (prob: 0.7508)
Episode 7 | Step 5 | State: [0.021, 0.021, 0.000, 0.000, 0.196, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0882 | TURN_LEFT: 0.1099 | TURN_RIGHT: 0.3502 | FORWARD_LEFT: 0.1065 | FORWARD_RIGHT: 0.0966 | BACKWARD: 0.2486 | Selected: BACKWARD (prob: 0.2486)
Episode 7 | Step 6 | State: [0.022, 0.022, 0.000, 0.000, 0.127, 0.020, 0.196, 0.020] | Action Distribution: FORWARD: 0.1922 | TURN_LEFT: 0.1485 | TURN_RIGHT: 0.1951 | FORWARD_LEFT: 0.2483 | FORWARD_RIGHT: 0.1283 | BACKWARD: 0.0877 | Selected: FORWARD_RIGHT (prob: 0.1283)
Episode 7 | Step 7 | State: [0.047, 0.021, 0.000, 0.000, 0.182, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1513 | TURN_LEFT: 0.1403 | TURN_RIGHT: 0.2581 | FORWARD_LEFT: 0.1978 | FORWARD_RIGHT: 0.1130 | BACKWARD: 0.1395 | Selected: FORWARD (prob: 0.1513)
Episode 7 | Step 8 | State: [0.065, 0.021, 0.000, 0.000, 0.310, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0273 | TURN_LEFT: 0.0617 | TURN_RIGHT: 0.4176 | FORWARD_LEFT: 0.0212 | FORWARD_RIGHT: 0.0541 | BACKWARD: 0.4181 | Selected: BACKWARD (prob: 0.4181)
Episode 7 | Step 9 | State: [0.047, 0.021, 0.000, 0.000, 0.180, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1821 | TURN_LEFT: 0.1487 | TURN_RIGHT: 0.2140 | FORWARD_LEFT: 0.2387 | FORWARD_RIGHT: 0.1182 | BACKWARD: 0.0982 | Selected: TURN_RIGHT (prob: 0.2140)
Episode 7 | Step 10 | State: [0.083, 0.021, 0.000, 0.000, 0.180, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.2249 | TURN_LEFT: 0.1682 | TURN_RIGHT: 0.1702 | FORWARD_LEFT: 0.2536 | FORWARD_RIGHT: 0.1122 | BACKWARD: 0.0707 | Selected: FORWARD_RIGHT (prob: 0.1122)
Episode 8 | Step 1 | State: [0.137, 0.022, 0.000, 0.000, 0.270, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1593 | TURN_LEFT: 0.1741 | TURN_RIGHT: 0.2739 | FORWARD_LEFT: 0.1540 | FORWARD_RIGHT: 0.0862 | BACKWARD: 0.1525 | Selected: FORWARD (prob: 0.1593)
Episode 8 | Step 2 | State: [0.143, 0.021, 0.000, 0.000, 0.536, 0.033, 0.193, 0.172] | Action Distribution: FORWARD: 0.0006 | TURN_LEFT: 0.0283 | TURN_RIGHT: 0.2686 | FORWARD_LEFT: 0.0000 | FORWARD_RIGHT: 0.0028 | BACKWARD: 0.6997 | Selected: BACKWARD (prob: 0.6997)
Episode 8 | Step 3 | State: [0.139, 0.021, 0.000, 0.000, 0.266, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1998 | TURN_LEFT: 0.1841 | TURN_RIGHT: 0.2201 | FORWARD_LEFT: 0.2017 | FORWARD_RIGHT: 0.0912 | BACKWARD: 0.1031 | Selected: FORWARD (prob: 0.1998)
Episode 8 | Step 4 | State: [0.146, 0.021, 0.000, 0.000, 0.529, 0.033, 0.193, 0.172] | Action Distribution: FORWARD: 0.0016 | TURN_LEFT: 0.0552 | TURN_RIGHT: 0.3833 | FORWARD_LEFT: 0.0001 | FORWARD_RIGHT: 0.0048 | BACKWARD: 0.5551 | Selected: FORWARD_RIGHT (prob: 0.0048)
Episode 8 | Step 5 | State: [0.136, 0.021, 0.000, 0.000, 1.000, 0.041, 0.193, 0.715] | Action Distribution: FORWARD: 0.0000 | TURN_LEFT: 0.0014 | TURN_RIGHT: 0.0096 | FORWARD_LEFT: 0.0000 | FORWARD_RIGHT: 0.0000 | BACKWARD: 0.9890 | Selected: BACKWARD (prob: 0.9890)
